,median,log_std
1-PFA-0-1,0.08,0.4608067551638503
1-PFA-0-2,0.08,0.49413271857642355
1-PFA-1-1,0.14,0.4681344734414342
1-PFA-1-2,0.15,0.2868530450370383
1-PFA-2-1,0.17,0.4164624252641039
1-PFA-2-2,0.17,0.4164624252641039
1-PFA-3-1,0.18,0.40511321955375623
1-PFA-3-2,0.18,0.40511321955375623
1-PFA-4-1,0.23,0.34726426562687884
1-PFA-4-2,0.23,0.3547900357092975
1-PID-1-1,0.005,0.4270757253801016
1-PID-1-2,0.005,0.4270757253801016
1-PID-2-1,0.005,0.4270757253801016
1-PID-2-2,0.005,0.4270757253801016
1-PID-3-1,0.004,0.4333520014182283
1-PID-3-2,0.004,0.4333520014182283
1-PID-4-1,0.002,0.5
1-PID-4-2,0.002,0.5
2-PFA-0-1,0.21,0.40963505144687823
2-PFA-0-2,0.21,0.3832845165220612
2-PFA-1-1,0.29,0.4288796990711922
2-PFA-1-2,0.29,0.4288796990711922
2-PFA-2-1,0.28,0.3876227323608682
2-PFA-2-2,0.29,0.40099778751361925
2-PFA-3-1,0.3,0.4035091985429514
2-PFA-3-2,0.27,0.3997088915138062
2-PFA-4-1,0.33,0.37239657187771463
2-PFA-4-2,0.32,0.4209585845343814
2-PID-1-1,0.011,0.4711097456140563
2-PID-1-2,0.01,0.475131730518475
2-PID-2-1,0.012,0.4394939456771386
2-PID-2-2,0.011,0.4711097456140563
2-PID-3-1,0.008,0.5
2-PID-3-2,0.008,0.447946327171986
2-PID-4-1,0.004,0.4333520014182283
2-PID-4-2,0.003,0.5
3-PFA-0-1,0.34,0.4205559989300818
3-PFA-0-2,0.33,0.37035195963979445
3-PFA-1-1,0.41,0.3772360727062722
3-PFA-1-2,0.42,0.3757655292605639
3-PFA-2-1,0.36,0.37647176413422945
3-PFA-2-2,0.38,0.40508979107103643
3-PFA-3-1,0.35,0.37539754064726244
3-PFA-3-2,0.35,0.38276503265877987
3-PFA-4-1,0.43,0.3817574009955636
3-PFA-4-2,0.41,0.39375144764296094
3-PID-1-1,0.016,0.44795243307594346
3-PID-1-2,0.017,0.5222864082152147
3-PID-2-1,0.018,0.4027931427882727
3-PID-2-2,0.019,0.458870056460066
3-PID-3-1,0.014,0.4231794130494331
3-PID-3-2,0.014,0.45842683288503877
3-PID-4-1,0.006,0.4203185874397092
3-PID-4-2,0.006,0.6135685945427505
4-PFA-0-1,0.49,0.3919210430750446
4-PFA-0-2,0.45,0.38698384475251535
4-PFA-1-1,0.53,0.406011263972564
4-PFA-1-2,0.5,0.38752352095832543
4-PFA-2-1,0.45,0.39274739627448507
4-PFA-2-2,0.46,0.3945545500174033
4-PFA-3-1,0.4,0.38127939790214715
4-PFA-3-2,0.41,0.3772360727062722
4-PFA-4-1,0.49,0.33956788384728936
4-PFA-4-2,0.49,0.37524568788735635
4-PID-1-1,0.026,0.5124532035318107
4-PID-1-2,0.027,0.5970969478920988
4-PID-2-1,0.027,0.4794717270402726
4-PID-2-2,0.027,0.5689226436084314
4-PID-3-1,0.02,0.3959232466570905
4-PID-3-2,0.02,0.50639149262782
4-PID-4-1,0.008,0.5184667123718524
4-PID-4-2,0.008,0.6444856071246744
5-PFA-0-1,0.53,0.49558086996772627
5-PFA-0-2,0.52,0.3888274185466733
5-PFA-1-1,0.6,0.4327984859794568
5-PFA-1-2,0.58,0.40300677399524637
5-PFA-2-1,0.45,0.39859880249384605
5-PFA-2-2,0.46,0.4302023973054347
5-PFA-3-1,0.42,0.3894423471436558
5-PFA-3-2,0.43,0.4045390070382661
5-PFA-4-1,0.5,0.37083251851057364
5-PFA-4-2,0.51,0.3922488768771692
5-PID-1-1,0.034,0.4937862195749691
5-PID-1-2,0.029,0.45655108499263214
5-PID-2-1,0.035,0.4719298354100396
5-PID-2-2,0.03,0.4712487198187546
5-PID-3-1,0.021,0.5390460626558675
5-PID-3-2,0.025,0.4264982747013112
5-PID-4-1,0.008,0.742315433526588
5-PID-4-2,0.012,0.5
6-PFA-0-1,0.67,0.433673896418087
6-PFA-0-2,0.65,0.4028467214673338
6-PFA-1-1,0.72,0.4124720061431207
6-PFA-1-2,0.66,0.4145767084859249
6-PFA-2-1,0.52,0.3618066495006511
6-PFA-2-2,0.54,0.4126302775358337
6-PFA-3-1,0.46,0.40667200135708653
6-PFA-3-2,0.47,0.3765029041603888
6-PFA-4-1,0.53,0.3687296645707586
6-PFA-4-2,0.55,0.42854198175786573
6-PID-1-1,0.038,0.499774428013506
6-PID-1-2,0.037,0.5712444846665292
6-PID-2-1,0.039,0.4594344469648642
6-PID-2-2,0.04,0.49413089340948024
6-PID-3-1,0.02,0.5414775471204692
6-PID-3-2,0.027,0.4835005040366075
6-PID-4-1,0.009,0.7538901102273311
6-PID-4-2,0.014,0.7589902208022125
7-PFA-0-1,0.87,0.44120648819447855
7-PFA-0-2,0.78,0.4177407092067101
7-PFA-1-1,0.86,0.4821081396301719
7-PFA-1-2,0.82,0.4006453426541226
7-PFA-2-1,0.56,0.34705572162101234
7-PFA-2-2,0.62,0.40820261049405293
7-PFA-3-1,0.57,0.4232287075991503
7-PFA-3-2,0.6,0.39420276076969885
7-PFA-4-1,0.6,0.36658338302347926
7-PFA-4-2,0.7,0.458458353356435
7-PID-1-1,0.048,0.5890989181011332
7-PID-1-2,0.035,0.4489672960554259
7-PID-2-1,0.05,0.5091893954559619
7-PID-2-2,0.038,0.46582524029968414
7-PID-3-1,0.024,0.5880264933787529
7-PID-3-2,0.033,0.5640052852568394
7-PID-4-1,0.013,0.8379017172040789
7-PID-4-2,0.025,0.802097323851652
8-PFA-0-1,0.95,0.3567116524771788
8-PFA-0-2,1.1,0.3470735728935639
8-PFA-1-1,1.05,0.42608849302357177
8-PFA-1-2,0.76,0.5038492195451799
8-PFA-2-1,0.6,0.36811806938860964
8-PFA-2-2,0.66,0.3596707400773089
8-PFA-3-1,0.6,0.5810192984266385
8-PFA-3-2,0.46,0.375216650813277
8-PFA-4-1,0.62,0.42130837935001453
8-PFA-4-2,0.62,0.37154410493248724
8-PID-1-1,0.064,0.37225108957396674
8-PID-1-2,0.034,0.5541025203432555
8-PID-2-1,0.065,0.38772639486747945
8-PID-2-2,0.036,0.5609854356653375
8-PID-3-1,0.037,0.4291250037192124
8-PID-3-2,0.028,0.42325787086810823
8-PID-4-1,0.018,0.3654463171640024
8-PID-4-2,0.016,0.7337218554010868
