--,Units,Family,Theta_0,Theta_1
PFA-0-1,g,lognormal,0.45,0.40
PFA-0-2,g,lognormal,0.45,0.40
PFA-1-1,g,lognormal,0.45,0.40
PFA-1-2,g,lognormal,0.45,0.40
PFA-2-1,g,lognormal,0.45,0.40
PFA-2-2,g,lognormal,0.45,0.40
PFA-3-1,g,lognormal,0.45,0.40
PFA-3-2,g,lognormal,0.45,0.40
PFA-4-1,g,lognormal,0.45,0.40
PFA-4-2,g,lognormal,0.45,0.40
PID-1-1,rad,lognormal,0.03,0.35
PID-1-2,rad,lognormal,0.03,0.35
PID-2-1,rad,lognormal,0.03,0.35
PID-2-2,rad,lognormal,0.03,0.35
PID-3-1,rad,lognormal,0.03,0.35
PID-3-2,rad,lognormal,0.03,0.35
PID-4-1,rad,lognormal,0.03,0.35
PID-4-2,rad,lognormal,0.03,0.35
