type,,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,PID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID,RID
loc,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
dir,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
hz,gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless
1,1,0.000874907280690861,0.000654978700515167,0.0012532672297668702,0.0007849335735129506,0.0014329523936337724,0.001011374044250136,0.0014891849703957964,0.001080349186016634,0.0015585246276244263,0.0010777682853740913,0.0015160595844444914,0.0011235960730596232,0.0015067513246378045,0.0013565993531766362,0.0012475141112154786,0.0010647110102115932,0.001035375328421397,0.0010426126042635136,9.108398516169551e-07,6.788223160797358e-07,1.912282986964472e-06,1.666438807319856e-06,2.143500387095545e-06,1.2882459660159055e-06,1.980655672739212e-06,9.706730211715417e-07,2.1629405033196746e-06,1.1731036769956413e-06,2.896332126468539e-06,1.0383836399217412e-06,3.2958320284688975e-06,5.533693942610507e-07,3.3503903724014093e-06,2.44040032467229e-07,3.0594946782822734e-06,1.0393731394187737e-08
1,10,0.0006650396066934408,0.0008062425617496251,0.0009321430319459144,0.0010940597429272595,0.000993855037676555,0.001268285366309222,0.0009705307183011581,0.0012842026733344426,0.0009250454328950808,0.0012730380388314806,0.0009935161271127843,0.0015131137535756766,0.0012144898211176574,0.0016393604438094014,0.0012615557403389639,0.0013559105300444698,0.0009413108429952682,0.0011326998153350595,6.593393121246419e-07,4.2403461234232944e-07,1.5929810733106255e-06,1.3141732214301305e-06,1.667493925320056e-06,1.2620552817053367e-06,1.599350576697295e-06,1.0687120721925854e-06,1.5599470935305216e-06,1.339023215029684e-06,1.317894927642612e-06,1.3895208931125515e-06,1.0205937036567501e-06,2.1615668515654736e-06,9.125029065547535e-07,9.426694483365459e-07,8.852765015548793e-07,1.3065256623543423e-06
1,11,0.0008028006570874222,0.0008799579667395491,0.0010995883237976641,0.0011298233235154374,0.0011420506269161968,0.001291023731586051,0.0011229007225684261,0.001355550599801614,0.0012789777659064118,0.0014113020154744404,0.0012936563449913428,0.001661461605098106,0.0014995750580179949,0.0018181629840528194,0.0015503700296778601,0.0021684828812536653,0.0013129731429769623,0.0017895357707596023,8.537953671603555e-07,8.49592335350789e-07,1.789514161900586e-06,2.208736993002449e-06,1.6443363618430023e-06,2.82179260434475e-06,1.7359823939335152e-06,2.9465726134888985e-06,1.9062613371026677e-06,2.7225836820696345e-06,1.8241630945820107e-06,2.9816321985584887e-06,1.8537908574142399e-06,2.658981972925992e-06,1.0379571503135801e-06,2.3022175450035065e-06,7.864593628485815e-07,1.4933782574053908e-06
1,12,0.0008819004586413912,0.0018313435372863884,0.001077907879012469,0.0024646096270296127,0.0009109569448842392,0.0021818378909751602,0.000997847222809096,0.0014770828360404311,0.0015013895837294186,0.0014037618821333266,0.0015881588005910389,0.0025995871776871133,0.0018359330168580866,0.003938797570982176,0.0023346994155276873,0.004227145331842717,0.001984061534695565,0.0031251254916607645,8.468605404722362e-07,1.8538949398353959e-06,1.8791679812426622e-06,3.4314877448958493e-06,2.0606340522995e-06,4.02664307874393e-06,2.323766518674175e-06,4.089832307355059e-06,2.2296305228820834e-06,4.190598505907372e-06,2.0868904562619017e-06,4.232046516369524e-06,2.1162250048210373e-06,4.155000955715096e-06,1.6311249746907678e-06,3.5822936615024546e-06,1.0956559925113597e-06,2.55744768208168e-06
1,13,0.0009921162317804097,0.0009418062622035499,0.0012028359959528623,0.0011865025935328918,0.0010293570180772938,0.0010978462337805524,0.0010419411334968217,0.001075972919162798,0.0011034759188387924,0.0010842796256695121,0.0013884849978810603,0.001303188804619152,0.0014876034421271247,0.0015151660961898116,0.00199352877951787,0.002047548513647979,0.0018092238630263865,0.0017395910833905624,1.004356942660658e-06,4.939390771376253e-07,2.2365868914962697e-06,1.4682184362102443e-06,2.4731195403118443e-06,1.5402365586336024e-06,2.3403270934185065e-06,1.4673167370674966e-06,2.2799423992225864e-06,1.1047761940830465e-06,2.433854455465889e-06,6.846342642341272e-07,2.5887193566951458e-06,8.26921691187653e-07,2.4930040892695733e-06,6.485680280096158e-07,2.524390052785455e-06,1.6152208314885343e-07
1,14,0.000744940868281268,0.0008918215204354065,0.0010407652232718122,0.001265970979813576,0.001055856841927582,0.0013766584406807115,0.0010952195718547009,0.0013999898416929414,0.0011703858345737755,0.0015390651863055006,0.0013488839843044137,0.0014904026814172547,0.0014759378263399289,0.0014955128310068925,0.0015130594898737112,0.001525460663200679,0.0011703096442209349,0.0011895416252475544,8.608589600532762e-07,1.1301325475123222e-06,1.9426487775778616e-06,2.2410783512293015e-06,2.1500791187773478e-06,2.483668942113218e-06,2.251117071644926e-06,2.516276110409969e-06,2.176721914772516e-06,2.3784346473767907e-06,1.9950027624206235e-06,2.5826519110213922e-06,1.8422556071533739e-06,2.6061286549782548e-06,1.6870444777443617e-06,2.5040006262388807e-06,1.3584563314456608e-06,2.0318970381034672e-06
1,15,0.0005843819740154456,0.0008104824658614173,0.000795474242200593,0.0010937016813610278,0.0007978212830344699,0.0011285782714055934,0.0008174401149737619,0.001091655451609867,0.0009552836575057207,0.0013282544147248877,0.001117850795389005,0.0013586082516361406,0.0012498980241740115,0.001699724330573372,0.0012483190902438568,0.0018847974505638034,0.0009888486603541109,0.0016881302681325877,3.578902753351637e-06,7.479904564002465e-07,6.172283943486009e-06,1.8506177601601076e-06,6.957815017583052e-06,1.954545054323593e-06,7.071853051144875e-06,1.647784414194272e-06,7.383966215708706e-06,1.3093068767650082e-06,7.096699174093271e-06,9.320294808770664e-07,7.130308356666491e-06,8.794463245232341e-07,5.919295220897132e-06,9.327826175163062e-07,4.220329529603416e-06,1.3429503337591239e-06
1,16,0.00043792924118203234,0.000628239161856305,0.0006713088981463246,0.0009383341712554745,0.000779311103013727,0.0010528092738732594,0.0008115090690527124,0.0010508992395229875,0.0009144810251566196,0.0010999781188433073,0.0009695071721613749,0.0010317236872201263,0.0009657787659524443,0.0010436952337160646,0.0009114720309810648,0.0009653637125884869,0.0006589105621331016,0.0007439097174292888,8.854242577871269e-07,8.592332598924449e-07,1.954559359021474e-06,1.9162173773062255e-06,2.1556287547193597e-06,2.0975864071198424e-06,2.2656303086120522e-06,2.1120109631125558e-06,2.315089851055011e-06,2.167070997077218e-06,2.2716547851240187e-06,2.1201072302603534e-06,2.0348228997957935e-06,1.91190872018978e-06,1.7065416073916515e-06,1.6797216105718426e-06,1.3955261219098604e-06,1.4182828243719205e-06
1,17,0.00025987766882412493,0.0010305084513497322,0.0003732923115171896,0.0014994977654466336,0.0004174353197111529,0.0015610335171514988,0.000439931129202002,0.0014029708009303105,0.0005317429468174432,0.0015128669035575871,0.0005781082927243711,0.0017303546432850979,0.0005369677059523308,0.002040640602769176,0.00045930194059363923,0.002045718949997067,0.00036704192538487655,0.001474469424015847,7.597650406578284e-07,5.347809419166684e-07,1.7631180793807832e-06,1.4184301184383173e-06,1.9569676980136546e-06,1.53623631795327e-06,2.0152194483838847e-06,1.5639923293912864e-06,1.9799607133397388e-06,1.52128749418925e-06,1.9057163165908647e-06,1.473934398064713e-06,1.7708431529442906e-06,1.3439773155669714e-06,1.4772175179123772e-06,1.1156353797588006e-06,1.222240086007835e-06,9.348801697742885e-07
1,18,0.000677973042105622,0.0007212749067128143,0.0009176363763592827,0.0010066190032310546,0.0010457166803977752,0.0011388604798674427,0.001079626694296575,0.0011782551539451852,0.0012706109178260597,0.0011866651755613874,0.0013631542179841946,0.0011793074836870707,0.0014860176477918072,0.0013230677746206962,0.0014152561091342474,0.0012591515475007219,0.0010707783124959162,0.0011042608765750388,7.089679583471836e-07,1.0215454275552128e-06,1.982976083528496e-06,2.022963001439848e-06,2.475937293663097e-06,2.059238807002365e-06,2.3639903684667426e-06,1.7650534995148866e-06,2.2070220290249226e-06,1.5140466733979132e-06,2.7256734824571726e-06,1.0544652993595782e-06,2.884466272290335e-06,7.948198367256953e-07,2.480054762185658e-06,1.1689662641794405e-06,1.5254978871094266e-06,7.166545240500422e-07
1,19,0.0008024314680246159,0.0010688652182907657,0.0011461353793663573,0.0011038845495469434,0.0013114877813974256,0.0013474000082277229,0.0012852798760261547,0.001505107949042111,0.0013598704524876216,0.0014620133515100761,0.0015486553704764292,0.0017344693128903198,0.0015979054902476148,0.002335859291769178,0.0015518942216630497,0.001718723879007644,0.0015641074470198913,0.00227478225275934,1.1619646724443599e-06,1.1401806001841232e-06,2.3279321542628675e-06,2.345809306265541e-06,2.732107459754998e-06,2.4257233584198634e-06,2.871687683192993e-06,2.311817394628527e-06,2.772163130119148e-06,2.299025413486735e-06,2.647444330548875e-06,2.29857489567387e-06,2.5625218770304742e-06,2.4969618122022862e-06,2.333765638135789e-06,3.3417648651645783e-06,1.9105608785890734e-06,2.187742026713549e-06
1,2,0.0004987413598153093,0.0010180195510627803,0.0005780202057377744,0.0014741979476751185,0.0006686163181747732,0.0016074957688317754,0.0007668128767612821,0.0015143652560748492,0.0008405841760694117,0.0017094736107379116,0.0007373818710679607,0.0018639751255018256,0.0007940440414315109,0.001972465331402265,0.0008214995470675539,0.0018004935472221407,0.0009112037273673427,0.001228591191362216,9.61085329174259e-07,8.607471123191788e-07,2.1332756296332075e-06,1.98844420149426e-06,2.4164339951121146e-06,2.360925019933073e-06,2.364258696371628e-06,2.459781807962252e-06,2.4480495376738856e-06,2.5303417948648477e-06,2.579546805359078e-06,2.2526375897592754e-06,2.6063331599860434e-06,2.0292295828700167e-06,2.3224630887985006e-06,1.7622887961209833e-06,2.1498731503490942e-06,1.377674572120749e-06
1,20,0.0011666206274922341,0.0009573576182951053,0.0015124336827283707,0.0012902080711768341,0.0014415881624079661,0.001314147001607176,0.0013252138877604361,0.0013898400588674437,0.0015586961750248386,0.0013966879767915634,0.0020434352160870924,0.0015924498930468484,0.00242779731730104,0.0019422179921822675,0.00292632357371699,0.0018222902332032031,0.002375305701711479,0.0014386045835403454,9.898251804297181e-07,3.837021671599227e-07,2.0346916925412597e-06,1.200252882729946e-06,2.323922537596808e-06,8.624652509526399e-07,2.6669670813391714e-06,4.486685770928679e-07,3.091094723038875e-06,4.0310892692692307e-07,3.3985986207974155e-06,7.629908375228549e-07,2.890307749811332e-06,1.0676031423164944e-06,2.175498816373558e-06,8.659808371659118e-07,1.8550109670064475e-06,6.641420082582766e-07
1,21,0.001019564493125966,0.0014062701812799015,0.0013684085368972042,0.0018700789236157892,0.0010857829650334214,0.0018426999975602123,0.0010158356517434464,0.0012692256979575413,0.0011693737474568744,0.001555346424984731,0.0014756480633495263,0.0022662504457593925,0.0015000251680000359,0.0033029201177658483,0.002157871846491495,0.0036424277139815663,0.0020482000959435942,0.0029321985319331213,1.3454369367139798e-07,2.8626065091373515e-07,6.110514678382101e-07,3.1932198430442896e-07,8.564037362566786e-07,1.1548421739277876e-07,1.077847649907166e-06,2.0272385841659878e-07,9.391879945171445e-07,1.3699845619378516e-08,1.2185607108208531e-06,9.722509225040577e-07,1.4449069668523368e-06,7.901079349153828e-07,1.3202201410554967e-06,3.237189353265118e-07,1.353709174921659e-06,4.81889738962561e-07
1,22,0.0011562309459599064,0.0007695466268121084,0.0014522481084205453,0.0008692632698120142,0.0011829549757528253,0.001063914994696686,0.0012094445836998767,0.0011436989264115229,0.0015266163475775752,0.0014711770922888347,0.0021156819052469333,0.0017464170168010682,0.0023626840683451614,0.0015631735787992077,0.0028130436307263872,0.0015718856641680839,0.002360760268237491,0.001870268780822403,5.330259258356767e-07,7.765792811964246e-07,1.5958159381920133e-06,1.5534416641249174e-06,2.0366662091570565e-06,1.6221663438747437e-06,2.4521066495424256e-06,1.963560464973069e-06,2.2188249557204213e-06,2.1129932687429873e-06,2.2195306700880992e-06,2.506956414146128e-06,2.165811719062806e-06,2.2051593450293314e-06,1.6465958892879402e-06,1.1782006789574728e-06,1.1359293577818272e-06,8.596673803031815e-07
