,,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
,,0.000,0.100,0.200,0.300,0.400,0.500,0.600,0.700,0.800,0.900,1.000
Flood,0.000,0.000,0.100,0.200,0.300,0.400,0.500,0.600,0.700,0.800,0.900,1.000
Flood,0.100,0.100,0.190,0.280,0.370,0.460,0.550,0.640,0.730,0.820,0.910,1.000
Flood,0.200,0.200,0.285,0.360,0.440,0.520,0.600,0.680,0.760,0.840,0.920,1.000
Flood,0.300,0.300,0.370,0.440,0.510,0.580,0.650,0.720,0.790,0.860,0.930,1.000
Flood,0.400,0.400,0.460,0.520,0.580,0.640,0.700,0.760,0.820,0.880,0.940,1.000
Flood,0.500,0.500,0.550,0.600,0.650,0.700,0.750,0.800,0.850,0.900,0.950,1.000
Flood,0.600,0.600,0.640,0.680,0.720,0.760,0.806,0.840,0.880,0.920,0.960,1.000
Flood,0.700,0.700,0.730,0.760,0.790,0.820,0.850,0.880,0.910,0.940,0.970,1.000
Flood,0.800,0.800,0.820,0.840,0.860,0.880,0.900,0.920,0.940,0.960,0.980,1.000
Flood,0.900,0.900,0.910,0.920,0.930,0.940,0.950,0.960,0.970,0.980,0.990,1.000
Flood,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
