ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
STR.W1.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.012,0.4,,lognormal,0.04,0.4,,lognormal,0.1,0.4,0.97 | 0.03
STR.W1.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W1.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W1.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0079,0.4,,lognormal,0.0245,0.4,,lognormal,0.06,0.4,0.97 | 0.03
STR.W2.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.012,0.4,,lognormal,0.04,0.4,,lognormal,0.1,0.4,0.97 | 0.03
STR.W2.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W2.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W2.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0079,0.4,,lognormal,0.0245,0.4,,lognormal,0.06,0.4,0.97 | 0.03
STR.S1.L.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.012,0.4,,lognormal,0.03,0.4,,lognormal,0.08,0.4,0.92 | 0.08
STR.S1.L.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.0104,0.4,,lognormal,0.0235,0.4,,lognormal,0.06,0.4,0.92 | 0.08
STR.S1.L.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.0096,0.4,,lognormal,0.0203,0.4,,lognormal,0.05,0.4,0.92 | 0.08
STR.S1.L.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0048,0.4,,lognormal,0.0076,0.4,,lognormal,0.0162,0.4,,lognormal,0.04,0.4,0.92 | 0.08
STR.S1.M.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.008,0.4,,lognormal,0.02,0.4,,lognormal,0.0533,0.4,0.95 | 0.05
STR.S1.M.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0069,0.4,,lognormal,0.0157,0.4,,lognormal,0.04,0.4,0.95 | 0.05
STR.S1.M.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0064,0.4,,lognormal,0.0135,0.4,,lognormal,0.0333,0.4,0.95 | 0.05
STR.S1.M.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0051,0.4,,lognormal,0.0108,0.4,,lognormal,0.0267,0.4,0.95 | 0.05
STR.S1.H.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.003,0.4,,lognormal,0.006,0.4,,lognormal,0.015,0.4,,lognormal,0.04,0.4,0.97 | 0.03
STR.S1.H.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.003,0.4,,lognormal,0.0052,0.4,,lognormal,0.0118,0.4,,lognormal,0.03,0.4,0.97 | 0.03
STR.S1.H.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.003,0.4,,lognormal,0.0048,0.4,,lognormal,0.0101,0.4,,lognormal,0.025,0.4,0.97 | 0.03
STR.S1.H.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0024,0.4,,lognormal,0.0038,0.4,,lognormal,0.0081,0.4,,lognormal,0.02,0.4,0.97 | 0.03
STR.S2.L.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.01,0.4,,lognormal,0.03,0.4,,lognormal,0.08,0.4,0.92 | 0.08
STR.S2.L.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.0087,0.4,,lognormal,0.0233,0.4,,lognormal,0.06,0.4,0.92 | 0.08
STR.S2.L.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.008,0.4,,lognormal,0.02,0.4,,lognormal,0.05,0.4,0.92 | 0.08
STR.S2.L.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0064,0.4,,lognormal,0.016,0.4,,lognormal,0.04,0.4,0.92 | 0.08
STR.S2.M.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0033,0.4,,lognormal,0.0067,0.4,,lognormal,0.02,0.4,,lognormal,0.0533,0.4,0.95 | 0.05
STR.S2.M.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0033,0.4,,lognormal,0.0058,0.4,,lognormal,0.0156,0.4,,lognormal,0.04,0.4,0.95 | 0.05
STR.S2.M.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0033,0.4,,lognormal,0.0053,0.4,,lognormal,0.0133,0.4,,lognormal,0.0333,0.4,0.95 | 0.05
STR.S2.M.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0027,0.4,,lognormal,0.0043,0.4,,lognormal,0.0107,0.4,,lognormal,0.0267,0.4,0.95 | 0.05
STR.S2.H.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0025,0.4,,lognormal,0.005,0.4,,lognormal,0.015,0.4,,lognormal,0.04,0.4,0.97 | 0.03
STR.S2.H.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0025,0.4,,lognormal,0.0043,0.4,,lognormal,0.0117,0.4,,lognormal,0.03,0.4,0.97 | 0.03
STR.S2.H.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0025,0.4,,lognormal,0.004,0.4,,lognormal,0.01,0.4,,lognormal,0.025,0.4,0.97 | 0.03
STR.S2.H.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.002,0.4,,lognormal,0.0032,0.4,,lognormal,0.008,0.4,,lognormal,0.02,0.4,0.97 | 0.03
STR.S3.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.008,0.4,,lognormal,0.024,0.4,,lognormal,0.07,0.4,0.97 | 0.03
STR.S3.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.007,0.4,,lognormal,0.0187,0.4,,lognormal,0.0525,0.4,0.97 | 0.03
STR.S3.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0064,0.4,,lognormal,0.0161,0.4,,lognormal,0.0438,0.4,0.97 | 0.03
STR.S3.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0051,0.4,,lognormal,0.0128,0.4,,lognormal,0.035,0.4,0.97 | 0.03
STR.S4.L.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.008,0.4,,lognormal,0.024,0.4,,lognormal,0.07,0.4,0.92 | 0.08
STR.S4.L.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0069,0.4,,lognormal,0.0187,0.4,,lognormal,0.0525,0.4,0.92 | 0.08
STR.S4.L.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0064,0.4,,lognormal,0.0161,0.4,,lognormal,0.0438,0.4,0.92 | 0.08
STR.S4.L.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0051,0.4,,lognormal,0.0128,0.4,,lognormal,0.035,0.4,0.92 | 0.08
STR.S4.M.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0027,0.4,,lognormal,0.0053,0.4,,lognormal,0.016,0.4,,lognormal,0.0467,0.4,0.95 | 0.05
STR.S4.M.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0027,0.4,,lognormal,0.0046,0.4,,lognormal,0.0125,0.4,,lognormal,0.035,0.4,0.95 | 0.05
STR.S4.M.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0027,0.4,,lognormal,0.0043,0.4,,lognormal,0.0107,0.4,,lognormal,0.0292,0.4,0.95 | 0.05
STR.S4.M.PC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.0021,0.4,,lognormal,0.0034,0.4,,lognormal,0.0086,0.4,,lognormal,0.0233,0.4,0.95 | 0.05
STR.S4.H.HC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.002,0.4,,lognormal,0.004,0.4,,lognormal,0.012,0.4,,lognormal,0.035,0.4,0.97 | 0.03
STR.S4.H.MC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.002,0.4,,lognormal,0.0035,0.4,,lognormal,0.0093,0.4,,lognormal,0.0262,0.4,0.97 | 0.03
STR.S4.H.LC,0,Peak Roof Drift Ratio,rad,0,0,lognormal,0.002,0.4,,lognormal,0.0032,0.4,,lognormal,0.008,0.4,,lognormal,0.0219,0.4,0.97 | 0.03
