ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
STR.W1.HC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.012,0.4,,lognormal,0.04,0.4,,lognormal,0.1,0.4,0.97 | 0.03
STR.W1.MC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W1.LC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W1.PC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0079,0.4,,lognormal,0.0245,0.4,,lognormal,0.06,0.4,0.97 | 0.03
STR.W2.HC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.012,0.4,,lognormal,0.04,0.4,,lognormal,0.1,0.4,0.97 | 0.03
STR.W2.MC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W2.LC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0099,0.4,,lognormal,0.0306,0.4,,lognormal,0.075,0.4,0.97 | 0.03
STR.W2.PC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.0032,0.4,,lognormal,0.0079,0.4,,lognormal,0.0245,0.4,,lognormal,0.06,0.4,0.97 | 0.03
STR.S1.HC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.012,0.4,,lognormal,0.03,0.4,,lognormal,0.08,0.4,0.92 | 0.08
STR.S1.MC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.0104,0.4,,lognormal,0.0235,0.4,,lognormal,0.06,0.4,0.92 | 0.08
STR.S1.LC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.006,0.4,,lognormal,0.0096,0.4,,lognormal,0.0203,0.4,,lognormal,0.05,0.4,0.92 | 0.08
STR.S1.PC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.0048,0.4,,lognormal,0.0076,0.4,,lognormal,0.0162,0.4,,lognormal,0.04,0.4,0.92 | 0.08
STR.S2.HC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.01,0.4,,lognormal,0.03,0.4,,lognormal,0.08,0.4,0.92 | 0.08
STR.S2.MC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.0087,0.4,,lognormal,0.0233,0.4,,lognormal,0.06,0.4,0.92 | 0.08
STR.S2.LC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.005,0.4,,lognormal,0.008,0.4,,lognormal,0.02,0.4,,lognormal,0.05,0.4,0.92 | 0.08
STR.S2.PC,0,Peak Interstory Drift Ratio,rad,0,0,lognormal,0.004,0.4,,lognormal,0.0064,0.4,,lognormal,0.016,0.4,,lognormal,0.04,0.4,0.92 | 0.08
