ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
HRD.GF.1,0,Permanent Ground Deformation,inch,0,0,lognormal,12,0.7,,lognormal,24,0.7,,lognormal,60,0.7,,,,,
HRD.GF.2,0,Permanent Ground Deformation,inch,0,0,lognormal,6,0.7,,lognormal,12,0.7,,lognormal,24,0.7,,,,,
HWB.GS.1,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.4,0.6,,lognormal,0.5,0.6,,lognormal,0.7,0.6,,lognormal,0.9,0.6,
HWB.GS.2,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.6,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.7,0.6,
HWB.GS.3,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.8,0.6,,lognormal,1,0.6,,lognormal,1.2,0.6,,lognormal,1.7,0.6,
HWB.GS.4,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.8,0.6,,lognormal,1,0.6,,lognormal,1.2,0.6,,lognormal,1.7,0.6,
HWB.GS.5,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.25,0.6,,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.7,0.6,
HWB.GS.6,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.3,0.6,,lognormal,0.5,0.6,,lognormal,0.6,0.6,,lognormal,0.9,0.6,
HWB.GS.7,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.5,0.6,,lognormal,0.8,0.6,,lognormal,1.1,0.6,,lognormal,1.7,0.6,
HWB.GS.8,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.55,0.6,,lognormal,0.8,0.6,
HWB.GS.9,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.6,0.6,,lognormal,0.9,0.6,,lognormal,1.3,0.6,,lognormal,1.6,0.6,
HWB.GS.10,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.6,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.5,0.6,
HWB.GS.11,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.9,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.5,0.6,
HWB.GS.12,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.25,0.6,,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.7,0.6,
HWB.GS.13,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.3,0.6,,lognormal,0.5,0.6,,lognormal,0.6,0.6,,lognormal,0.9,0.6,
HWB.GS.14,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.5,0.6,,lognormal,0.8,0.6,,lognormal,1.1,0.6,,lognormal,1.7,0.6,
HWB.GS.15,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,1.1,0.6,
HWB.GS.16,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.9,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.5,0.6,
HWB.GS.17,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.25,0.6,,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.7,0.6,
HWB.GS.18,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.3,0.6,,lognormal,0.5,0.6,,lognormal,0.6,0.6,,lognormal,0.9,0.6,
HWB.GS.19,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.5,0.6,,lognormal,0.8,0.6,,lognormal,1.1,0.6,,lognormal,1.7,0.6,
HWB.GS.20,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.55,0.6,,lognormal,0.8,0.6,
HWB.GS.21,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.6,0.6,,lognormal,0.9,0.6,,lognormal,1.3,0.6,,lognormal,1.6,0.6,
HWB.GS.22,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.6,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.5,0.6,
HWB.GS.23,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.9,0.6,,lognormal,0.9,0.6,,lognormal,1.1,0.6,,lognormal,1.5,0.6,
HWB.GS.24,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.25,0.6,,lognormal,0.35,0.6,,lognormal,0.45,0.6,,lognormal,0.7,0.6,
HWB.GS.25,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.3,0.6,,lognormal,0.5,0.6,,lognormal,0.6,0.6,,lognormal,0.9,0.6,
HWB.GS.26,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,1.1,0.6,
HWB.GS.27,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,0.75,0.6,,lognormal,1.1,0.6,
HWB.GS.28,0,Spectral Acceleration|1.0,g,0,0,lognormal,0.8,0.6,,lognormal,1,0.6,,lognormal,1.2,0.6,,lognormal,1.7,0.6,
HWB.GF,0,Permanent Ground Deformation,inch,0,0,lognormal,3.9,0.2,,lognormal,3.9,0.2,,lognormal,3.9,0.2,,lognormal,13.8,0.2,
HTU.GS.1,0,Peak Ground Acceleration,g,0,0,lognormal,0.6,0.6,,lognormal,0.8,0.6,,,,,,,,,
HTU.GS.2,0,Peak Ground Acceleration,g,0,0,lognormal,0.5,0.6,,lognormal,0.7,0.6,,,,,,,,,
HTU.GF,0,Permanent Ground Deformation,inch,0,0,lognormal,6,0.7,,lognormal,12,0.5,,lognormal,60,0.5,,,,,
