ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights
RWC.001,0,Peak Tension Force,kN,0,1,normal,5.84,0.1,
RWC.STR.001,0,Peak Tension Force,kN,0,1,normal,5.338,0.3,
RWC.TN.001a,0,Peak Tension Force,kN,0,1,normal,2.98,0.3,
RWC.TN.001b,0,Peak Tension Force,kN,0,1,normal,1.92,0.23,
RWC.TN.001c,0,Peak Tension Force,kN,0,1,normal,1.846,0.25,
RWC.TN.STR.001,0,Peak Tension Force,kN,0,1,normal,7.31,0.1,
RWC.TN.STR.002,0,Peak Tension Force,kN,0,1,normal,8.47,0.11,
RWC.TN.STR.003,0,Peak Tension Force,kN,0,1,normal,14.35,0.1,
RWC.TN.STR.004,0,Peak Tension Force,kN,0,1,normal,9.22,0.11,
RWC.TN.STR.005,0,Peak Tension Force,kN,0,1,normal,8.56,0.11,
RWC.TN.STR.006,0,Peak Tension Force,kN,0,1,normal,13.41,0.09,
RWC.TN.STR.007,0,Peak Tension Force,kN,0,1,normal,12.21,0.12,
RWC.EPX.001,0,Peak Tension Force,kN,0,1,normal,7.53,0.37,
RWC.TN.EPX.001,0,Peak Tension Force,kN,0,1,normal,7.98,0.29,
RWC.TN.EPX.002,0,Peak Tension Force,kN,0,1,normal,6.55,0.16,
RWC.TN.EPX.003,0,Peak Tension Force,kN,0,1,normal,6.11,0.19,
RWC.TN.EPX.004,0,Peak Tension Force,kN,0,1,normal,9.67,0.34,
RWC.TN.ADH.001,0,Peak Tension Force,kN,0,1,normal,6.6,0.19,
RWC.TN.ADH.002,0,Peak Tension Force,kN,0,1,normal,4.95,0.33,
RWC.TN.ADH.003,0,Peak Tension Force,kN,0,1,normal,5.21,0.21,
RWC.TN.ADH.004,0,Peak Tension Force,kN,0,1,normal,2.81,0.17,
RWC.TN.ADH.005,0,Peak Tension Force,kN,0,1,normal,4.1,0.31,
RWC.TN.ADH.006,0,Peak Tension Force,kN,0,1,normal,3.79,0.09,
RWC.TN.002,0,Peak Tension Force,kN,0,1,normal,12.56,0.1,
RWC.HCL.001a,0,Peak Tension Force,kN,0,1,normal,5.836,0.12,
RWC.HCL.001b,0,Peak Tension Force,kN,0,1,normal,5.836,0.1,
RWC.HCL.001c,0,Peak Tension Force,kN,0,1,normal,5.391,0.15,
RWC.TN.003a,0,Peak Tension Force,kN,0,1,normal,1.557,0.16,
RWC.TN.003b,0,Peak Tension Force,kN,0,1,normal,1.51,0.36,
RWC.TN.004,0,Peak Tension Force,kN,0,1,normal,1.83,0.34,
RWC.TN.005,0,Peak Tension Force,kN,0,1,normal,1.97,0.38,
RWC.TN.006a,0,Peak Tension Force,kN,0,1,normal,1.56,0.164,
RWC.TN.006b,0,Peak Tension Force,kN,0,1,normal,2.59,0.212,
RWC.TN.006c,0,Peak Tension Force,kN,0,1,normal,2.69,0.155,
WIN.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3,
WIN.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.4,0.2,
WIN.002,0,Peak Wind Pressure,kPa,0,1,weibull,2.629,4.7,
WIN.003,0,Peak Wind Pressure,kPa,0,1,weibull,1.853,4.8,
WIN.004,0,Peak Wind Pressure,kPa,0,1,normal,6.7,0.3,
WIN.005,0,Peak Wind Pressure,kPa,0,1,normal,5.03,0.3,
WIN.006,0,Peak Wind Pressure,kPa,0,1,normal,2.61,0.25,
WIN.007a,0,Peak Wind Pressure,kPa,0,1,normal,1.534,0.25,
WIN.007b,0,Peak Wind Pressure,kPa,0,1,normal,2.454,0.25,
WIN.008,0,Peak Wind Pressure,kPa,0,1,normal,4.602,0.25,
WIN.009,0,Peak Wind Pressure,kPa,0,1,normal,5,0.2,
WIN.010,0,Peak Wind Pressure,kPa,0,1,normal,3.33,0.2,
WIN.011,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2,
WIN.012,0,Peak Wind Pressure,kPa,0,1,normal,1.78,0.2,
DOR.REG.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3,
DOR.REG.001b,0,Peak Wind Pressure,kPa,0,1,normal,3.6,0.2,
DOR.REG.001c,0,Peak Wind Pressure,kPa,0,1,normal,2.394,0.2,
DOR.REG.002,0,Peak Wind Pressure,kPa,0,1,normal,7.18,0.3,
DOR.REG.003,0,Peak Wind Pressure,kPa,0,1,normal,5.41,0.3,
DOR.REG.004a,0,Peak Wind Pressure,kPa,0,1,normal,2.45,0.25,
DOR.REG.004b,0,Peak Wind Pressure,kPa,0,1,weibull,4.86,4.5,
DOR.REG.005,0,Peak Wind Pressure,kPa,0,1,normal,4.79,0.2,
DOR.GAR.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.39,0.3,
DOR.GAR.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2,
DOR.GAR.001c,0,Peak Wind Pressure,kPa,0,1,normal,3.49,0.2,
DOR.GAR.001d,0,Peak Wind Pressure,kPa,0,1,normal,1.436,0.2,
DOR.GAR.002,0,Peak Wind Pressure,kPa,0,1,normal,3.59,0.3,
DOR.GAR.003,0,Peak Wind Pressure,kPa,0,1,normal,2.49,0.2,
DOR.GAR.004,0,Peak Wind Pressure,kPa,0,1,normal,0.479,0.2,
DOR.GAR.005,0,Peak Wind Pressure,kPa,0,1,normal,0.958,0.2,
