ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.RES1-Cost,0,1 EA,loss_ratio,0.005,0.023,0.117,0.234,0.234
STR.RES1-Time,0,1 EA,day,2,30,90,180,180
STR.RES2-Cost,0,1 EA,loss_ratio,0.004,0.024,0.073,0.244,0.244
STR.RES2-Time,0,1 EA,day,2,10,30,60,60
STR.RES3-Cost,0,1 EA,loss_ratio,0.003,0.014,0.069,0.138,0.138
STR.RES3-Time,0,1 EA,day,5,30,120,240,240
STR.RES4-Cost,0,1 EA,loss_ratio,0.002,0.014,0.068,0.136,0.136
STR.RES4-Time,0,1 EA,day,5,30,120,240,240
STR.RES5-Cost,0,1 EA,loss_ratio,0.004,0.019,0.094,0.188,0.188
STR.RES5-Time,0,1 EA,day,5,30,120,240,240
STR.RES6-Cost,0,1 EA,loss_ratio,0.004,0.018,0.092,0.184,0.184
STR.RES6-Time,0,1 EA,day,5,30,120,240,240
STR.COM1-Cost,0,1 EA,loss_ratio,0.006,0.029,0.147,0.294,0.294
STR.COM1-Time,0,1 EA,day,5,30,90,180,180
STR.COM2-Cost,0,1 EA,loss_ratio,0.006,0.032,0.162,0.324,0.324
STR.COM2-Time,0,1 EA,day,5,30,90,180,180
STR.COM3-Cost,0,1 EA,loss_ratio,0.003,0.016,0.081,0.162,0.162
STR.COM3-Time,0,1 EA,day,5,30,90,180,180
STR.COM4-Cost,0,1 EA,loss_ratio,0.004,0.019,0.096,0.192,0.192
STR.COM4-Time,0,1 EA,day,5,30,120,240,240
STR.COM5-Cost,0,1 EA,loss_ratio,0.003,0.014,0.069,0.138,0.138
STR.COM5-Time,0,1 EA,day,5,30,90,180,180
STR.COM6-Cost,0,1 EA,loss_ratio,0.002,0.014,0.070,0.140,0.140
STR.COM6-Time,0,1 EA,day,10,45,180,360,360
STR.COM7-Cost,0,1 EA,loss_ratio,0.003,0.014,0.072,0.144,0.144
STR.COM7-Time,0,1 EA,day,10,45,180,240,240
STR.COM8-Cost,0,1 EA,loss_ratio,0.002,0.010,0.050,0.100,0.100
STR.COM8-Time,0,1 EA,day,5,30,90,180,180
STR.COM9-Cost,0,1 EA,loss_ratio,0.003,0.012,0.061,0.122,0.122
STR.COM9-Time,0,1 EA,day,5,30,120,240,240
STR.COM10-Cost,0,1 EA,loss_ratio,0.013,0.061,0.304,0.609,0.609
STR.COM10-Time,0,1 EA,day,2,20,80,160,160
STR.IND1-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND1-Time,0,1 EA,day,10,30,120,240,240
STR.IND2-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND2-Time,0,1 EA,day,10,30,120,240,240
STR.IND3-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND3-Time,0,1 EA,day,10,30,120,240,240
STR.IND4-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND4-Time,0,1 EA,day,10,30,120,240,240
STR.IND5-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND5-Time,0,1 EA,day,20,45,180,360,360
STR.IND6-Cost,0,1 EA,loss_ratio,0.004,0.016,0.078,0.157,0.157
STR.IND6-Time,0,1 EA,day,5,20,80,160,160
STR.AGR1-Cost,0,1 EA,loss_ratio,0.008,0.046,0.231,0.462,0.462
STR.AGR1-Time,0,1 EA,day,2,10,30,60,60
STR.REL1-Cost,0,1 EA,loss_ratio,0.003,0.020,0.099,0.198,0.198
STR.REL1-Time,0,1 EA,day,10,30,120,240,240
STR.GOV1-Cost,0,1 EA,loss_ratio,0.003,0.018,0.090,0.179,0.179
STR.GOV1-Time,0,1 EA,day,10,30,120,240,240
STR.GOV2-Cost,0,1 EA,loss_ratio,0.003,0.015,0.077,0.153,0.153
STR.GOV2-Time,0,1 EA,day,5,20,90,180,180
STR.EDU1-Cost,0,1 EA,loss_ratio,0.004,0.019,0.095,0.189,0.189
STR.EDU1-Time,0,1 EA,day,10,30,120,240,240
STR.EDU2-Cost,0,1 EA,loss_ratio,0.002,0.011,0.055,0.110,0.110
STR.EDU2-Time,0,1 EA,day,10,45,180,360,360
NSD.RES1-Cost,0,1 EA,loss_ratio,0.010,0.050,0.250,0.500,
NSD.RES2-Cost,0,1 EA,loss_ratio,0.008,0.038,0.189,0.378,
