ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.RES1-Cost,0,1 EA,loss_ratio,0.5,2.3,11.7,23.4,23.4
STR.RES1-Time,0,1 EA,day,2.0,30.0,90.0,180.0,180.0
STR.RES2-Cost,0,1 EA,loss_ratio,0.4,2.4,7.3,24.4,24.4
STR.RES2-Time,0,1 EA,day,2.0,10.0,30.0,60.0,60.0
STR.RES3-Cost,0,1 EA,loss_ratio,0.3,1.4,6.9,13.8,13.8
STR.RES3-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.RES4-Cost,0,1 EA,loss_ratio,0.2,1.4,6.8,13.6,13.6
STR.RES4-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.RES5-Cost,0,1 EA,loss_ratio,0.4,1.9,9.4,18.8,18.8
STR.RES5-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.RES6-Cost,0,1 EA,loss_ratio,0.4,1.8,9.2,18.4,18.4
STR.RES6-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.COM1-Cost,0,1 EA,loss_ratio,0.6,2.9,14.7,29.4,29.4
STR.COM1-Time,0,1 EA,day,5.0,30.0,90.0,180.0,180.0
STR.COM2-Cost,0,1 EA,loss_ratio,0.6,3.2,16.2,32.4,32.4
STR.COM2-Time,0,1 EA,day,5.0,30.0,90.0,180.0,180.0
STR.COM3-Cost,0,1 EA,loss_ratio,0.3,1.6,8.1,16.2,16.2
STR.COM3-Time,0,1 EA,day,5.0,30.0,90.0,180.0,180.0
STR.COM4-Cost,0,1 EA,loss_ratio,0.4,1.9,9.6,19.2,19.2
STR.COM4-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.COM5-Cost,0,1 EA,loss_ratio,0.3,1.4,6.9,13.8,13.8
STR.COM5-Time,0,1 EA,day,5.0,30.0,90.0,180.0,180.0
STR.COM6-Cost,0,1 EA,loss_ratio,0.2,1.4,7.0,14.0,14.0
STR.COM6-Time,0,1 EA,day,10.0,45.0,180.0,360.0,360.0
STR.COM7-Cost,0,1 EA,loss_ratio,0.3,1.4,7.2,14.4,14.4
STR.COM7-Time,0,1 EA,day,10.0,45.0,180.0,240.0,240.0
STR.COM8-Cost,0,1 EA,loss_ratio,0.2,1.0,5.0,10.0,10.0
STR.COM8-Time,0,1 EA,day,5.0,30.0,90.0,180.0,180.0
STR.COM9-Cost,0,1 EA,loss_ratio,0.3,1.2,6.1,12.2,12.2
STR.COM9-Time,0,1 EA,day,5.0,30.0,120.0,240.0,240.0
STR.COM10-Cost,0,1 EA,loss_ratio,1.3,6.1,30.4,60.9,60.9
STR.COM10-Time,0,1 EA,day,2.0,20.0,80.0,160.0,160.0
STR.IND1-Cost,0,1 EA,loss_ratio,0.4,1.6,7.8,15.7,15.7
STR.IND1-Time,0,1 EA,day,10.0,30.0,120.0,240.0,240.0
