index,ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,DV-Unit,LossFunction-Theta_0
0,RES1.FIA.contents.one_floor.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 12.0, 25.0, 35.0, 36.0, 38.0, 41.0, 45.0, 50.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
1,RES1.FIA.contents.one_floor.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 16.0, 20.0, 22.0, 28.0, 33.0, 39.0, 44.0, 50.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
2,RES1.FIA.contents.two_floors.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 8.0, 11.0, 19.0, 23.0, 28.0, 33.0, 39.0, 44.0, 50.0, 54.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
3,RES1.FIA-Modified.contents.two_floors.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 16.0, 18.0, 25.0, 29.0, 33.0, 37.0, 42.0, 46.0, 52.0, 55.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
4,RES1.FIA-Modified.contents.three_or_more_floors.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 7.0, 15.0, 21.0, 22.0, 23.0, 25.0, 27.0, 30.0, 35.0, 40.0, 43.0, 45.0, 48.0, 50.0, 52.0, 54.0, 56.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
5,RES1.FIA-Modified.contents.three_or_more_floors.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 15.0, 22.0, 27.0, 28.0, 29.0, 30.0, 32.0, 35.0, 39.0, 43.0, 46.0, 47.0, 50.0, 52.0, 53.0, 55.0, 57.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
6,RES1.FIA.contents.split_level.no_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 8.0, 11.0, 19.0, 23.0, 28.0, 33.0, 39.0, 44.0, 50.0, 54.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
7,RES1.FIA-Modified.contents.split_level.with_basement.a_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 16.0, 18.0, 25.0, 29.0, 33.0, 37.0, 42.0, 46.0, 52.0, 55.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
8,RES1.FIA.contents.one_floor.no_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 10.0, 17.0, 23.0, 29.0, 35.0, 40.0, 45.0, 50.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
9,RES1.FIA.contents.one_floor.with_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 15.0, 20.0, 22.0, 28.0, 33.0, 39.0, 44.0, 50.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
10,RES1.FIA.contents.two_floors.no_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 7.0, 9.0, 17.0, 22.0, 28.0, 33.0, 39.0, 44.0, 50.0, 54.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
11,RES1.FIA-Modified.contents.two_floors.with_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 15.0, 17.0, 23.0, 28.0, 33.0, 37.0, 42.0, 46.0, 52.0, 55.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
12,RES1.FIA-Modified.contents.three_or_more_floors.no_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 6.0, 11.0, 15.0, 19.0, 23.0, 26.0, 29.0, 32.0, 35.0, 41.0, 43.0, 45.0, 48.0, 50.0, 52.0, 54.0, 56.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
13,RES1.FIA-Modified.contents.three_or_more_floors.with_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 5.0, 7.0, 8.0, 14.0, 18.0, 22.0, 25.0, 29.0, 31.0, 34.0, 36.0, 39.0, 44.0, 46.0, 47.0, 50.0, 52.0, 53.0, 55.0, 57.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
14,RES1.FIA.contents.split_level.no_basement.v_zone-Cost,0,Peak Inundation Height,in,0,1,loss_ratio,"0.0, 0.0, 0.0, 0.0, 7.0, 9.0, 17.0, 22.0, 28.0, 33.0, 39.0, 44.0, 50.0, 54.0, 58.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0|-4.0, -3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0"
