ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.bur.0.A.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.504,0.803
C.ECB.H.bur.0.A.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.443,0.808
C.ECB.H.bur.0.A.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.583,0.792
C.ECB.H.bur.0.A.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.463,0.804
C.ECB.H.bur.0.A.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.495,0.8
C.ECB.H.bur.0.A.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.771
C.ECB.H.bur.0.A.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.779
C.ECB.H.bur.0.A.low.3-Cost,0,1 EA,loss_ratio,0.003,0.005,0.007,0.738
C.ECB.H.bur.0.A.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.779
C.ECB.H.bur.0.A.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.774
C.ECB.H.bur.0.A.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.498,0.803
C.ECB.H.bur.0.A.med.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.521,0.793
C.ECB.H.bur.0.A.med.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.634,0.764
C.ECB.H.bur.0.A.med.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.507,0.789
C.ECB.H.bur.0.A.med.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.51,0.791
C.ECB.H.bur.0.B.hig.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.554,0.823
C.ECB.H.bur.0.B.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.499,0.812
C.ECB.H.bur.0.B.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.003,0.593,0.794
C.ECB.H.bur.0.B.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.51,0.815
C.ECB.H.bur.0.B.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.537,0.811
C.ECB.H.bur.0.B.low.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.785,0.787
C.ECB.H.bur.0.B.low.15-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.794
C.ECB.H.bur.0.B.low.3-Cost,0,1 EA,loss_ratio,0.007,0.018,0.02,0.741
C.ECB.H.bur.0.B.low.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.789
C.ECB.H.bur.0.B.low.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.005,0.789
C.ECB.H.bur.0.B.med.100-Cost,0,1 EA,loss_ratio,0.001,0.003,0.557,1.0
