ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
STR.W1-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.W1-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.W1-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,3
STR.W1-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.W2-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.W2-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.W2-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.W2-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S1L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S1L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S1L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S1L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S1M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S1M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S1M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S1M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S1H-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S1H-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S1H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S1H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S2L-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S2L-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S2L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S2L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S2M-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S2M-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S2M-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S2M-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S2H-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S2H-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S2H-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S2H-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S3-S1,0,1 EA,injury_rate,0.05,0.2,1.0,5.0,40
STR.S3-S2,0,1 EA,injury_rate,0.0,0.025,0.1,1.0,20
STR.S3-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,3
STR.S3-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S4L-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.S4L-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
STR.S4L-S3,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,5
STR.S4L-S4,0,1 EA,injury_rate,0.0,0.0,0.001,0.01,10
STR.S4M-S1,0,1 EA,injury_rate,0.05,0.25,1.0,5.0,40
STR.S4M-S2,0,1 EA,injury_rate,0.0,0.03,0.1,1.0,20
