ID,Incomplete,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS5-Family,DS5-Theta_0,DS5-Theta_1
B.10.31.001,0,,,,,,,lognormal,0.2,0.5,lognormal,0.1,0.5,,,
B.10.31.011a,0,,,,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,
B.10.31.011b,0,,,,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,
B.10.31.011c,0,,,,,,,lognormal,0.25,0.5,lognormal,0.1,0.5,,,
B.10.31.021a,0,,,,,,,lognormal,0.02,0.5,,,,,,
B.10.31.021b,0,,,,,,,lognormal,0.02,0.5,,,,,,
B.10.31.021c,0,,,,,,,lognormal,0.02,0.5,,,,,,
B.10.33.001a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.001b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.001c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.002a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.002b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.002c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.003a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.003b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.003c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.011a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.011b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.011c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.012a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.012b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.012c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.013a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.013b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.013c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,lognormal,0.2,0.5,,,
B.10.33.021a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.021b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.021c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.022a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.022b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.022c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.023a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.023b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.023c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.031a,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.031b,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.031c,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.032a,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.032b,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.032c,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.033a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.033b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.033c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,
B.10.33.041a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.041b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.041c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.042a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.042b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.042c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.043a,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.043b,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.043c,0,,,,lognormal,0.6,0.5,lognormal,0.4,0.5,,,,,,
B.10.33.051a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.051b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.051c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.052a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.052b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.052c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.053a,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.053b,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.053c,0,,,,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.061a,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.061b,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.061c,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.062a,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.062b,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.062c,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.063a,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.063b,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.063c,0,lognormal,0.6,0.5,lognormal,0.4,0.5,lognormal,0.2,0.5,,,,,,
B.10.33.071a,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.071b,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.071c,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.072a,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.072b,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.072c,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.073a,0,lognormal,0.2,0.5,,,,,,,,,,,,
B.10.33.073b,0,lognormal,0.2,0.5,,,,,,,,,,,,
