ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1031.001-Cost,0,1 EA,US$_2011,,,,,normal,"16536,10176|5,20",0.370602,,normal,"15564,11024.5|5,20",0.37889,,normal,"15264,10812|5,20",0.383593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.001-Time,0,1 EA,worker_day,,,,0,normal,"16.0497,9.87672|5,20",0.447041,0,normal,"15.1062,10.7002|5,20",0.453936,0,normal,"14.8151,10.494|5,20",0.457868,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011a-Cost,0,1 EA,US$_2011,,,,,lognormal,"25363,15608|5,20",0.406969,,lognormal,"31464,22287|5,20",0.366445,,lognormal,"36744,26027|5,20",0.343414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011a-Time,0,1 EA,worker_day,,,,0,lognormal,"24.6171,15.149|5,20",0.477623,0,lognormal,"30.5386,21.6315|5,20",0.443601,0,lognormal,"35.6633,25.2615|5,20",0.424774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011b-Cost,0,1 EA,US$_2011,,,,,lognormal,"26403,16248|5,20",0.391556,,lognormal,"33864,23987|5,20",0.341772,,lognormal,"41544,29427|5,20",0.305761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011b-Time,0,1 EA,worker_day,,,,0,lognormal,"19.4139,11.947|5,20",0.46456,0,lognormal,"24.9,17.6375|5,20",0.423448,0,lognormal,"30.5471,21.6375|5,20",0.394955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011c-Cost,0,1 EA,US$_2011,,,,,lognormal,"27963,17208|5,20",0.370493,,lognormal,"37464,26537|5,20",0.310418,,lognormal,"47544,33677|5,20",0.268916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.011c-Time,0,1 EA,worker_day,,,,0,lognormal,"18.505,11.3877|5,20",0.446951,0,lognormal,"24.7924,17.5613|5,20",0.398572,0,lognormal,"31.4629,22.2862|5,20",0.367173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.021a-Cost,0,1 EA,US$_2011,,,,,normal,"12142,7472|5,20",0.324753,,lognormal,"13608,9639|5,20",0.302036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.021a-Time,0,1 EA,worker_day,,,,0,normal,"11.7849,7.25224|5,20",0.409835,0,lognormal,"13.2078,9.35553|5,20",0.392079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.021b-Cost,0,1 EA,US$_2011,,,,,normal,"13182,8112|5,20",0.299397,,normal,"16008,11339|5,20",0.268722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1031.021b-Time,0,1 EA,worker_day,,,,0,normal,"9.69266,5.96472|5,20",0.390049,0,normal,"11.7706,8.33748|5,20",0.36703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
