ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
B1031.001,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.04,0.4,0.950000 | 0.050000,lognormal,0.08,0.4,,lognormal,0.11,0.4,,,,,
B1031.011a,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.04,0.4,0.950000 | 0.050000,lognormal,0.07,0.4,,lognormal,0.1,0.4,,,,,
B1031.011b,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.04,0.4,0.950000 | 0.050000,lognormal,0.07,0.4,,lognormal,0.1,0.4,,,,,
B1031.011c,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.04,0.4,0.950000 | 0.050000,lognormal,0.07,0.4,,lognormal,0.1,0.4,,,,,
B1031.021a,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.02,0.4,0.950000 | 0.050000,lognormal,0.05,0.4,,,,,,,,,
B1031.021b,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.02,0.4,0.950000 | 0.050000,lognormal,0.05,0.4,,,,,,,,,
B1031.021c,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.02,0.4,0.950000 | 0.050000,lognormal,0.05,0.4,,,,,,,,,
B1033.001a,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.0035,0.45,,lognormal,0.0058,0.65,,lognormal,0.0142,0.5,,lognormal,0.0283,0.25,
B1033.001b,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.0035,0.45,,lognormal,0.0058,0.65,,lognormal,0.0142,0.5,,lognormal,0.0283,0.25,
B1033.001c,0,Peak Interstory Drift Ratio,ea,0,1,lognormal,0.0035,0.45,,lognormal,0.0058,0.65,,lognormal,0.0142,0.5,,lognormal,0.0283,0.25,
