ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1,LS1-DamageStateWeights,LS2-Family,LS2-Theta_0,LS2-Theta_1,LS2-DamageStateWeights,LS3-Family,LS3-Theta_0,LS3-Theta_1,LS3-DamageStateWeights,LS4-Family,LS4-Theta_0,LS4-Theta_1,LS4-DamageStateWeights
HRD1,0,Permanent Ground Deformation,inch,0,0,lognormal,12,0.7,,lognormal,24,0.7,,lognormal,60,0.7,,,,,
HRD2,0,Permanent Ground Deformation,inch,0,0,lognormal,6,0.7,,lognormal,12,0.7,,lognormal,24,0.7,,,,,
HWB1.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.40,0.60,,lognormal,0.50,0.60,,lognormal,0.70,0.60,,lognormal,0.90,0.60,
HWB2.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.60,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.70,0.60,
HWB3.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.80,0.60,,lognormal,1.00,0.60,,lognormal,1.20,0.60,,lognormal,1.70,0.60,
HWB4.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.80,0.60,,lognormal,1.00,0.60,,lognormal,1.20,0.60,,lognormal,1.70,0.60,
HWB5.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.25,0.60,,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.70,0.60,
HWB6.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.30,0.60,,lognormal,0.50,0.60,,lognormal,0.60,0.60,,lognormal,0.90,0.60,
HWB7.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.50,0.60,,lognormal,0.80,0.60,,lognormal,1.10,0.60,,lognormal,1.70,0.60,
HWB8.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.55,0.60,,lognormal,0.80,0.60,
HWB9.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.60,0.60,,lognormal,0.90,0.60,,lognormal,1.30,0.60,,lognormal,1.60,0.60,
HWB10.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.60,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.50,0.60,
HWB11.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.90,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.50,0.60,
HWB12.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.25,0.60,,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.70,0.60,
HWB13.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.30,0.60,,lognormal,0.50,0.60,,lognormal,0.60,0.60,,lognormal,0.90,0.60,
HWB14.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.50,0.60,,lognormal,0.80,0.60,,lognormal,1.10,0.60,,lognormal,1.70,0.60,
HWB15.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,1.10,0.60,
HWB16.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.90,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.50,0.60,
HWB17.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.25,0.60,,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.70,0.60,
HWB18.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.30,0.60,,lognormal,0.50,0.60,,lognormal,0.60,0.60,,lognormal,0.90,0.60,
HWB19.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.50,0.60,,lognormal,0.80,0.60,,lognormal,1.10,0.60,,lognormal,1.70,0.60,
HWB20.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.55,0.60,,lognormal,0.80,0.60,
HWB21.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.60,0.60,,lognormal,0.90,0.60,,lognormal,1.30,0.60,,lognormal,1.60,0.60,
HWB22.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.60,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.50,0.60,
HWB23.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.90,0.60,,lognormal,0.90,0.60,,lognormal,1.10,0.60,,lognormal,1.50,0.60,
HWB24.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.25,0.60,,lognormal,0.35,0.60,,lognormal,0.45,0.60,,lognormal,0.70,0.60,
HWB25.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.30,0.60,,lognormal,0.50,0.60,,lognormal,0.60,0.60,,lognormal,0.90,0.60,
HWB26.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,1.10,0.60,
HWB27.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,0.75,0.60,,lognormal,1.10,0.60,
HWB28.GS,0,Spectral Response Acceleration at 1 sec,g,0,0,lognormal,0.80,0.60,,lognormal,1.00,0.60,,lognormal,1.20,0.60,,lognormal,1.70,0.60,
HWB.GF,0,Permanent Ground Deformation,inch,0,0,,,,,,,,,lognormal,3.90,0.20,,lognormal,13.80,0.20,
HTU1.GS,0,Peak Ground Acceleration,g,0,0,lognormal,0.6,0.6,,lognormal,0.8,0.6,,,,,,,,,
HTU2.GS,0,Peak Ground Acceleration,g,0,0,lognormal,0.5,0.6,,lognormal,0.7,0.6,,,,,,,,,
HTU.GF,0,Permanent Ground Deformation,inch,0,0,lognormal,6,0.7,,lognormal,12,0.5,,lognormal,60,0.5,,,,,
