ID-DV,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
HRD.GF.1,0,1 EA,loss_ratio,0.1,0.75,0.9,0.9
HRD.GF.2,0,1 EA,loss_ratio,0.1,0.75,0.9,0.9
HWB.GS.1,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.2,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.3,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.4,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.5,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.6,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.7,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.8,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.9,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.10,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.11,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.12,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.13,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.14,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.15,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.16,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.17,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.18,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.19,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.20,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.21,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.22,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.23,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.24,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.25,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.26,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.27,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GS.28,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HWB.GF,0,1 EA,loss_ratio,0.3,0.7,0.98,1
HTU.GS.1,0,1 EA,loss_ratio,0.1,0.75,0.95,1
HTU.GS.2,0,1 EA,loss_ratio,0.1,0.75,0.95,1
HTU.GF,0,1 EA,loss_ratio,0.1,0.75,0.95,1
