,1-PFA-0-0, 1-PRD-1-1
0.000000000000000000e+00,6.016750137971175860e+00,8.802777777777778812e-02
1.000000000000000000e+00,6.016554381222509740e+00,1.505888888888889110e-01
2.000000000000000000e+00,6.017497481632581469e+00,2.123888888888888701e-02
3.000000000000000000e+00,6.016594647913682259e+00,2.361388888888889259e-01
4.000000000000000000e+00,6.017081442166158922e+00,3.526111111111111113e-02
5.000000000000000000e+00,3.955550108533530285e+00,1.827777777777777994e-03
6.000000000000000000e+00,6.017401989410416263e+00,2.178333333333333510e-02
7.000000000000000000e+00,6.016568735344994145e+00,1.180333333333333512e-01
8.000000000000000000e+00,6.018387903308008546e+00,9.655555555555556113e-03
9.000000000000000000e+00,5.910372806453634276e+00,6.527777777777777311e-03
1.000000000000000000e+01,6.017333564663320367e+00,1.830555555555555755e-02
1.100000000000000000e+01,1.807554799253831668e+00,4.888888888888888581e-04
1.200000000000000000e+01,6.017058983594711030e+00,2.569444444444444683e-02
1.300000000000000000e+01,5.058078052054846729e+00,3.538888888888889160e-03
1.400000000000000000e+01,6.017404027613838302e+00,1.080000000000000057e-02
1.500000000000000000e+01,5.675433014181602509e+00,5.288888888888888980e-03
1.600000000000000000e+01,6.016776019640403206e+00,4.352777777777778329e-02
1.700000000000000000e+01,6.016726177988778623e+00,1.823333333333333403e-02
1.800000000000000000e+01,6.016591143330023428e+00,2.592222222222222497e-02
1.900000000000000000e+01,6.017415818194449706e+00,1.591666666666666924e-02
2.000000000000000000e+01,6.016589202209209120e+00,1.371111111111111142e-02
2.100000000000000000e+01,3.228819065371102859e+00,1.155555555555555719e-03
2.200000000000000000e+01,6.017080714125595087e+00,1.002777777777777782e-02
2.300000000000000000e+01,6.018543688662513880e+00,9.005555555555554842e-03
2.400000000000000000e+01,5.536380023649170035e+00,4.794444444444444925e-03
2.500000000000000000e+01,6.010905609263400784e+00,7.716666666666666813e-03
2.600000000000000000e+01,6.017363467960968215e+00,1.729444444444444562e-02
2.700000000000000000e+01,6.017931027627178686e+00,8.244444444444444867e-03
2.800000000000000000e+01,4.772791288608258853e+00,2.983333333333333497e-03
2.900000000000000000e+01,6.016951381553936606e+00,2.584444444444444419e-02
3.000000000000000000e+01,4.243852740320735784e+00,2.177777777777778045e-03
3.100000000000000000e+01,6.017265592742620406e+00,1.238888888888888852e-02
3.200000000000000000e+01,6.016584929094032752e+00,1.404444444444444447e-02
3.300000000000000000e+01,5.947996626287843647e+00,6.855555555555555708e-03
3.400000000000000000e+01,6.017068036007358067e+00,2.836666666666666503e-02
3.500000000000000000e+01,5.035606119472761044e+00,3.488888888888889029e-03
3.600000000000000000e+01,2.675671076332787557e+00,8.055555555555555603e-04
3.700000000000000000e+01,6.016654130447741444e+00,1.035888888888888970e-01
3.800000000000000000e+01,4.373331158775408234e+00,2.349999999999999659e-03
3.900000000000000000e+01,6.016706537829585422e+00,8.271111111111111025e-02
4.000000000000000000e+01,4.427236122221696490e+00,2.427777777777777833e-03
4.100000000000000000e+01,6.016867016694710024e+00,3.511666666666666409e-02
