,1-PFA-0-0, 1-PRD-1-1
0.000000000000000000e+00,1.401749416550359513e+02,3.666666666666666598e-03
1.000000000000000000e+00,1.335503526432405010e+02,3.404761904761904358e-03
2.000000000000000000e+00,4.495854032877609763e-01,7.936507936507936162e-06
3.000000000000000000e+00,3.653046420989364829e-01,7.936507936507936162e-06
4.000000000000000000e+00,1.287344907396358595e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.369034296502740915e+02,3.531746031746032122e-03
6.000000000000000000e+00,1.308978418004941773e+02,3.309523809523809076e-03
7.000000000000000000e+00,7.443042698519455325e-01,1.587301587301587232e-05
8.000000000000000000e+00,3.602220865277322437e-01,7.936507936507936162e-06
9.000000000000000000e+00,3.474820230102417327e+02,1.005238095238095292e-01
1.000000000000000000e+01,6.608603814159353940e-01,1.587301587301587232e-05
1.100000000000000000e+01,3.553651933734274793e-01,7.936507936507936162e-06
1.200000000000000000e+01,1.223378246099196645e+02,3.031746031746031678e-03
1.300000000000000000e+01,2.246335698929021873e+02,1.017460317460317475e-02
1.400000000000000000e+01,9.760683378840450075e+01,2.404761904761904771e-03
1.500000000000000000e+01,4.368217430606221585e-01,7.936507936507936162e-06
1.600000000000000000e+01,6.876128897419754304e-01,1.587301587301587232e-05
1.700000000000000000e+01,4.071745603734449603e-01,7.936507936507936162e-06
1.800000000000000000e+01,3.455048148861066259e-01,7.936507936507936162e-06
1.900000000000000000e+01,6.501957842734716886e-01,1.587301587301587232e-05
2.000000000000000000e+01,4.124223804225249923e-01,7.936507936507936162e-06
2.100000000000000000e+01,4.462694602296811142e-01,7.936507936507936162e-06
2.200000000000000000e+01,1.985779722961717937e+02,7.484126984126984565e-03
2.300000000000000000e+01,6.540861068968422121e-01,1.587301587301587232e-05
2.400000000000000000e+01,4.745411710171963948e-01,7.936507936507936162e-06
2.500000000000000000e+01,1.682108915284606931e+00,3.968253968253968251e-05
2.600000000000000000e+01,3.421537649400269721e-01,7.936507936507936162e-06
2.700000000000000000e+01,3.508210906480097035e-01,7.936507936507936162e-06
2.800000000000000000e+01,1.971660586221975109e+02,7.357142857142857234e-03
2.900000000000000000e+01,3.411869259004408628e-01,7.936507936507936162e-06
3.000000000000000000e+01,1.316345603737910874e+00,3.174603174603174465e-05
3.100000000000000000e+01,3.517923497605253136e-01,7.936507936507936162e-06
3.200000000000000000e+01,1.010122907093738531e+00,2.380952380952381018e-05
3.300000000000000000e+01,7.616629306595245064e-01,1.587301587301587232e-05
3.400000000000000000e+01,7.856787073535022037e-01,1.587301587301587232e-05
3.500000000000000000e+01,7.284507665480296490e-01,1.587301587301587232e-05
3.600000000000000000e+01,1.045374711813934931e+00,2.380952380952381018e-05
3.700000000000000000e+01,4.094541840796851462e-01,7.936507936507936162e-06
3.800000000000000000e+01,1.938105793864980626e+02,7.063492063492064245e-03
3.900000000000000000e+01,2.398690196963210326e+02,1.211111111111111242e-02
4.000000000000000000e+01,1.065834097645071976e+00,2.380952380952381018e-05
4.100000000000000000e+01,1.172393094860633145e-01,0.000000000000000000e+00
4.200000000000000000e+01,6.596312757468998367e-01,1.587301587301587232e-05
4.300000000000000000e+01,1.401242546776540754e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.331529515958131071e+02,3.388888888888889200e-03
4.500000000000000000e+01,1.670895185038615693e+02,5.079365079365079361e-03
4.600000000000000000e+01,9.758764834412809819e+01,2.404761904761904771e-03
4.700000000000000000e+01,9.719696960611707848e-01,2.380952380952381018e-05
4.800000000000000000e+01,7.880907480040749702e-01,1.587301587301587232e-05
4.900000000000000000e+01,1.746889572303266025e+00,3.968253968253968251e-05
5.000000000000000000e+01,1.372877869041430887e-01,0.000000000000000000e+00
5.100000000000000000e+01,4.104999333039936471e-01,7.936507936507936162e-06
5.200000000000000000e+01,1.623634869376995526e+00,3.968253968253968251e-05
5.300000000000000000e+01,4.114743040737280366e-01,7.936507936507936162e-06
5.400000000000000000e+01,6.436260183321470540e-01,1.587301587301587232e-05
5.500000000000000000e+01,4.037602666930218409e-01,7.936507936507936162e-06
5.600000000000000000e+01,6.970085966117005594e-01,1.587301587301587232e-05
5.700000000000000000e+01,7.889917390431288036e-01,1.587301587301587232e-05
5.800000000000000000e+01,4.227666398688875171e-01,7.936507936507936162e-06
5.900000000000000000e+01,4.485220317370908205e-01,7.936507936507936162e-06
6.000000000000000000e+01,4.182960050467426916e-01,7.936507936507936162e-06
6.100000000000000000e+01,6.529964819364095785e-01,1.587301587301587232e-05
6.200000000000000000e+01,7.323573919336368032e-01,1.587301587301587232e-05
6.300000000000000000e+01,1.432337442041252962e-01,0.000000000000000000e+00
6.400000000000000000e+01,4.645798966167697386e-01,7.936507936507936162e-06
6.500000000000000000e+01,6.883746533849792737e-01,1.587301587301587232e-05
6.600000000000000000e+01,3.800837161081989102e-01,7.936507936507936162e-06
6.700000000000000000e+01,4.396932125472796660e-01,7.936507936507936162e-06
6.800000000000000000e+01,3.892969851713400375e-01,7.936507936507936162e-06
6.900000000000000000e+01,4.170071357239143461e-01,7.936507936507936162e-06
7.000000000000000000e+01,1.622846898598930920e+02,4.785714285714285504e-03
7.100000000000000000e+01,4.595934729416844555e-01,7.936507936507936162e-06
7.200000000000000000e+01,9.745821714486642140e-01,2.380952380952381018e-05
7.300000000000000000e+01,7.462798386815614471e-01,1.587301587301587232e-05
7.400000000000000000e+01,3.308596995935244536e+02,3.438888888888889245e-02
7.500000000000000000e+01,1.695925980741571637e+00,3.968253968253968251e-05
7.600000000000000000e+01,4.222483328971113337e-01,7.936507936507936162e-06
7.700000000000000000e+01,6.887898443059739861e+01,1.698412698412698390e-03
7.800000000000000000e+01,3.441789771594936931e-01,7.936507936507936162e-06
7.900000000000000000e+01,4.538567783615791162e-01,7.936507936507936162e-06
8.000000000000000000e+01,1.650168682488083789e+02,4.944444444444444017e-03
8.100000000000000000e+01,4.171705532771549652e-01,7.936507936507936162e-06
8.200000000000000000e+01,4.395910789123643747e-01,7.936507936507936162e-06
8.300000000000000000e+01,2.047851121574267950e+02,8.063492063492064266e-03
8.400000000000000000e+01,1.403845630539197753e-01,0.000000000000000000e+00
8.500000000000000000e+01,1.250541490149886528e+02,3.111111111111111369e-03
8.600000000000000000e+01,7.231499099833863520e-01,1.587301587301587232e-05
8.700000000000000000e+01,1.580738282146311735e-01,0.000000000000000000e+00
8.800000000000000000e+01,1.058360735185898405e-01,0.000000000000000000e+00
8.900000000000000000e+01,2.128299348238758455e+02,8.873015873015874591e-03
9.000000000000000000e+01,7.309423615081618308e-01,1.587301587301587232e-05
9.100000000000000000e+01,4.324737467952542991e-01,7.936507936507936162e-06
9.200000000000000000e+01,2.104300248437251355e+02,8.626984126984127074e-03
9.300000000000000000e+01,7.680380464667299067e-01,1.587301587301587232e-05
9.400000000000000000e+01,3.445140796249960280e-01,7.936507936507936162e-06
9.500000000000000000e+01,4.754039627927102996e-01,7.936507936507936162e-06
9.600000000000000000e+01,2.053687261014532339e+02,8.119047619047619485e-03
9.700000000000000000e+01,7.728252551072971599e-01,1.587301587301587232e-05
9.800000000000000000e+01,1.056912635204117629e-01,0.000000000000000000e+00
9.900000000000000000e+01,6.857616227843768009e-01,1.587301587301587232e-05
