,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.24600000000000002,60.51,60.51,0.0,0.0
std,0.40517361286941744,123.07347686268844,123.07347686268844,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0
84.1%,0.98,200.0,200.0,0.0,0.0
90%,1.0,365.0,365.0,0.0,0.0
97.7%,1.0,365.0,365.0,0.0,0.0
99.9%,1.0,365.0,365.0,0.0,0.0
max,1.0,365.0,365.0,0.0,0.0
