,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1.3292760000000001,424.961,424.961,0.0,0.0
std,0.39823047764663283,127.6186380680991,127.6186380680991,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.9790199999999997,199.79999999999993,199.79999999999993,0.0,0.0
2.3%,1.0,365.0,365.0,0.0,0.0
10%,1.0,365.0,365.0,0.0,0.0
15.9%,1.0,365.0,365.0,0.0,0.0
50%,1.0,365.0,365.0,0.0,0.0
84.1%,1.98,565.0,565.0,0.0,0.0
90%,2.0,730.0,730.0,0.0,0.0
97.7%,2.0,730.0,730.0,0.0,0.0
99.9%,2.0,730.0,730.0,0.0,0.0
max,2.0,730.0,730.0,0.0,0.0
