,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.012,0.08,0.08,0.0,0.0
std,0.05908391567007971,0.3938927711338647,0.3938927711338647,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0
84.1%,0.0,0.0,0.0,0.0,0.0
90%,0.0,0.0,0.0,0.0,0.0
97.7%,0.3,2.0,2.0,0.0,0.0
99.9%,0.3,2.0,2.0,0.0,0.0
max,0.3,2.0,2.0,0.0,0.0
