,1-SA_1-1-1
0.000000000000000000e+00,2.793954087779572859e+01
1.000000000000000000e+00,4.633692694697755599e+01
2.000000000000000000e+00,6.073663589377220973e+01
3.000000000000000000e+00,4.167471610656527758e+01
4.000000000000000000e+00,4.352163710666278007e+01
5.000000000000000000e+00,6.377384122415730161e+01
6.000000000000000000e+00,7.591323998610091905e+01
7.000000000000000000e+00,6.495678190944586561e+01
8.000000000000000000e+00,2.357004544778350663e+01
9.000000000000000000e+00,5.176572859156799922e+01
1.000000000000000000e+01,2.518145085041272679e+01
1.100000000000000000e+01,1.755367500884357668e+01
1.200000000000000000e+01,3.342766083756296780e+01
1.300000000000000000e+01,1.463301402095214314e+02
1.400000000000000000e+01,4.603023507425596250e+01
1.500000000000000000e+01,4.969312213202615425e+01
1.600000000000000000e+01,7.425529562115451654e+01
1.700000000000000000e+01,3.866377487747871555e+01
1.800000000000000000e+01,1.081978406854314869e+02
1.900000000000000000e+01,1.357943309126631881e+01
2.000000000000000000e+01,4.796361331255158689e+01
2.100000000000000000e+01,6.359688240359522382e+01
2.200000000000000000e+01,1.797429051216853679e+01
2.300000000000000000e+01,1.802667358700694678e+01
2.400000000000000000e+01,1.650552735772175694e+01
2.500000000000000000e+01,1.511195245703733825e+01
2.600000000000000000e+01,8.970623712702690966e+01
2.700000000000000000e+01,1.748158443323099576e+01
2.800000000000000000e+01,3.541951045383415675e+01
2.900000000000000000e+01,4.386631215194896072e+01
3.000000000000000000e+01,4.989477232745119295e+01
3.100000000000000000e+01,2.785311872580043513e+01
3.200000000000000000e+01,5.297758244250648829e+01
3.300000000000000000e+01,2.101408414047955659e+02
3.400000000000000000e+01,6.118074103927349938e+01
3.500000000000000000e+01,3.252929435337927799e+01
3.600000000000000000e+01,1.859697252019276164e+02
3.700000000000000000e+01,2.790875103429481285e+01
3.800000000000000000e+01,4.015015443765556569e+01
3.900000000000000000e+01,8.322384995248251016e+01
4.000000000000000000e+01,3.362368950717858951e+01
4.100000000000000000e+01,4.357479576073482264e+01
4.200000000000000000e+01,1.617841543889236178e+01
4.300000000000000000e+01,6.779457634211453865e+01
4.400000000000000000e+01,6.254635129167409957e+01
4.500000000000000000e+01,2.595876805767319340e+01
4.600000000000000000e+01,3.646217263356503224e+01
4.700000000000000000e+01,2.488885847334284662e+01
4.800000000000000000e+01,4.315263719605007253e+01
4.900000000000000000e+01,5.992440777137515084e+01
5.000000000000000000e+01,1.004651739590795785e+02
5.100000000000000000e+01,2.498738691534558143e+01
5.200000000000000000e+01,1.147997698017431105e+02
5.300000000000000000e+01,5.783159049316249423e+01
5.400000000000000000e+01,4.045727914398415948e+01
5.500000000000000000e+01,3.573176306538876190e+01
5.600000000000000000e+01,1.227402522928955904e+02
5.700000000000000000e+01,2.775217406990485713e+01
5.800000000000000000e+01,4.886658526396665536e+01
5.900000000000000000e+01,1.716233827426222902e+01
6.000000000000000000e+01,1.862790273886690784e+01
6.100000000000000000e+01,7.945733219455479457e+01
6.200000000000000000e+01,1.930087559918811380e+01
6.300000000000000000e+01,3.560381571347946306e+01
6.400000000000000000e+01,6.167454076780198591e+01
6.500000000000000000e+01,8.942994543044326861e+01
6.600000000000000000e+01,5.208973328532481872e+01
6.700000000000000000e+01,4.849969680726526633e+01
6.800000000000000000e+01,3.520840441937215815e+01
6.900000000000000000e+01,5.452768993503728723e+01
7.000000000000000000e+01,3.174023492485334685e+01
7.100000000000000000e+01,6.192228185124451834e+00
7.200000000000000000e+01,9.473287928058631735e+01
7.300000000000000000e+01,2.071674754939105867e+02
7.400000000000000000e+01,5.846886054687079337e+01
7.500000000000000000e+01,4.033077446465512139e+01
7.600000000000000000e+01,2.694886201697840988e+01
7.700000000000000000e+01,3.252713697648607649e+01
7.800000000000000000e+01,6.104831780056517232e+01
7.900000000000000000e+01,1.682947760044720553e+01
8.000000000000000000e+01,1.146285953089714127e+01
8.100000000000000000e+01,2.880284927670515316e+01
8.200000000000000000e+01,1.147046623364333442e+02
8.300000000000000000e+01,3.228821773234418657e+01
8.400000000000000000e+01,9.070326767554911385e+01
8.500000000000000000e+01,6.928560434309413552e+01
8.600000000000000000e+01,2.246468156503630809e+01
8.700000000000000000e+01,2.383535906115418612e+01
8.800000000000000000e+01,6.995214430474769074e+01
8.900000000000000000e+01,7.483919149526528258e+01
9.000000000000000000e+01,8.292747701035672492e+01
9.100000000000000000e+01,1.772498504451806767e+01
9.200000000000000000e+01,1.117479107135039840e+02
9.300000000000000000e+01,2.517777356127852428e+01
9.400000000000000000e+01,1.881195725173927968e+01
9.500000000000000000e+01,7.999355041462706595e+01
9.600000000000000000e+01,4.071205686337484764e+01
9.700000000000000000e+01,4.891082907707470895e+01
9.800000000000000000e+01,9.928091219415817292e+00
9.900000000000000000e+01,5.175693967904031467e+01
