,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,200.0,200.0,200.0,200.0,200.0
mean,1.2131999999999998,398.54,398.54,0.0,0.0
std,0.3842132992186533,113.79717653322807,113.79717653322807,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.98,200.0,200.0,0.0,0.0
10%,1.0,365.0,365.0,0.0,0.0
15.9%,1.0,365.0,365.0,0.0,0.0
50%,1.0,365.0,365.0,0.0,0.0
84.1%,1.7,375.0,375.0,0.0,0.0
90%,1.98,565.0,565.0,0.0,0.0
97.7%,2.0,730.0,730.0,0.0,0.0
99.9%,2.0,730.0,730.0,0.0,0.0
max,2.0,730.0,730.0,0.0,0.0
