,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.765249381545932295e+01,1.758091289315688925e+02,2.016556395910094182e+02,4.773749772717587803e+01,3.871210268290762091e+00
1.000000000000000000e+00,6.305124150672553185e+01,2.174144734366857961e+02,1.216140740965163900e+02,1.950095379576738708e+01,1.934912174243220262e+00
2.000000000000000000e+00,1.256817183091921351e+02,3.154200569066265984e+02,1.021853085587168408e+02,7.595555156196519420e+01,5.261362413253000803e+00
3.000000000000000000e+00,1.948628725522692662e+02,2.848080874265364173e+02,7.462771551221901234e+01,6.766469515084847330e+01,4.519409930885697868e+00
4.000000000000000000e+00,9.739020134745318558e+01,1.926595034543904603e+02,3.432160591242804912e+02,4.261255846004248582e+01,3.164457565475687240e+00
5.000000000000000000e+00,7.786053659998779608e+01,4.626207720651913102e-01,9.172090405600731344e+01,3.889577169368498399e+00,4.664715562472811428e+01
6.000000000000000000e+00,7.082289568118288514e+01,1.885859587113021689e+02,6.087557732700943092e+01,4.271875077507166196e+01,3.572857567322335726e+00
7.000000000000000000e+00,1.538268874827787158e+02,4.521760057065650358e+02,2.427734002431033673e+02,9.373636299872099187e+01,6.285209608194731068e+00
8.000000000000000000e+00,1.068012799230333485e+02,2.805033428836081839e+02,1.672611200036638479e+02,7.959213335726337846e+01,5.428152948426308022e+00
9.000000000000000000e+00,2.002519854122789127e+02,5.168026899476652716e+02,6.203146161136712635e+02,1.136193104724668217e+02,7.281976594258552815e+00
1.000000000000000000e+01,1.666250853787683752e+02,5.909590558911024800e+02,3.338502659411750528e+02,8.755617677897986084e+01,5.943663580428387050e+00
1.100000000000000000e+01,2.081509594181683553e+02,3.335438169532196753e+02,1.154476078302340767e+02,8.947053339638083003e+01,5.796170852920626615e+00
1.200000000000000000e+01,2.071588291881072337e+02,2.432726786582442742e+02,1.836287885096862738e+02,8.916238562989512673e+01,5.771276376760860138e+00
1.300000000000000000e+01,2.332191313777426274e+02,5.189898816274345563e+02,1.885638797310982397e+02,1.249979307957291041e+02,7.758798023040980318e+00
1.400000000000000000e+01,6.891537405637771485e+01,2.014035253376610228e+02,1.013843632599987643e+02,3.941529731326627939e+01,3.350897714264069904e+00
1.500000000000000000e+01,2.452650026603683102e+02,4.281375958232695211e+02,1.515320884523532072e+02,9.927691426485273496e+01,6.295699775502901829e+00
1.600000000000000000e+01,1.013970894099792019e+02,3.825218654304023858e+02,3.943794678782343226e+02,4.212585509330772737e+01,3.170367280589421188e+00
1.700000000000000000e+01,1.245129336110204576e+02,3.397250538094431818e+02,1.158014996882004652e+02,6.264538030099688370e+01,4.353168030540974343e+00
1.800000000000000000e+01,1.131981864117224319e+02,2.418659635003605217e+02,1.542826960224889206e+02,4.169824952567739729e+01,3.317295684540079836e+00
1.900000000000000000e+01,1.499481213653245675e+02,4.618903833060863349e+02,3.307208968363637496e+02,7.567996475784480026e+01,5.062183300267346198e+00
2.000000000000000000e+01,1.462504765322763944e+02,3.307235896818111769e+02,2.046653647267140030e+01,5.887404450713858495e+01,4.213088255767781121e+00
2.100000000000000000e+01,1.008309241846238820e+02,7.229278787714585874e-01,1.299899051267704522e+02,5.124709604211292735e+00,6.935874255176142356e+01
2.200000000000000000e+01,1.625569617608849455e+02,4.018571166803654364e+02,4.604098685107354072e+02,7.098469343461404435e+01,4.818736794927260370e+00
2.300000000000000000e+01,1.822218445198560914e+02,4.749389590511560186e+02,1.548041293452419609e+02,7.567522949590100723e+01,5.082693443142722423e+00
2.400000000000000000e+01,1.258725457929637486e+02,2.888640431317981552e+02,1.436441915930800803e+02,7.347718529901834472e+01,4.885529148249623255e+00
2.500000000000000000e+01,2.140967981626754977e+02,1.306306578647167498e+03,2.061679378466527339e+02,9.757924458198873197e+01,6.183865911614521593e+00
2.600000000000000000e+01,9.434083579874530301e+01,2.790409642007883235e+02,2.326474371704623820e+02,4.939513332593795525e+01,3.937019947821186250e+00
2.700000000000000000e+01,7.973278919539151843e+01,2.353089935304767266e+02,4.178624549017017671e+02,4.116282802003082253e+01,3.467731226756772589e+00
2.800000000000000000e+01,1.017781000255812103e+02,2.609965164290633766e+02,1.393200102244704794e+02,5.470153504571297276e+01,4.015332532178464753e+00
2.900000000000000000e+01,7.951619756356369351e+01,5.144893974269056924e-01,7.109165003561268747e+01,4.004179050536714080e+00,4.866546368623969698e+01
3.000000000000000000e+01,2.455352650860615142e+02,8.385611509917763442e+02,3.453634293280713905e+02,9.199213129426907187e+01,5.668588964027044597e+00
3.100000000000000000e+01,6.542444548390682257e+01,2.306136911643439475e+02,7.911987477364623089e+01,2.125183824035995883e+01,2.070576203320788622e+00
3.200000000000000000e+01,2.796672543894145520e+02,9.720771509831452022e+02,7.521911205921855981e+02,1.016847826802167134e+02,6.401975402322235276e+00
3.300000000000000000e+01,1.483901071406396852e+02,5.871556615247384343e+02,4.534353118749970122e+02,7.576423634785784600e+01,5.085268056876107501e+00
3.400000000000000000e+01,1.798748041799195505e+02,5.711056107013993142e+02,1.650498862664123010e+02,1.081940868563896601e+02,7.003218189877997268e+00
3.500000000000000000e+01,2.238868828623518539e+02,4.529486341674356709e+02,3.566049351245543448e+02,8.698656991288589779e+01,5.473174016726978230e+00
3.600000000000000000e+01,2.228965596727441607e+02,9.252757063222122724e+02,1.053555136094275042e+02,1.149950009057187259e+02,7.382505892097724676e+00
3.700000000000000000e+01,1.396951511681367322e+02,3.365881878462477630e+02,2.345224758441300423e+02,8.993453665213372972e+01,6.080113562167634100e+00
3.800000000000000000e+01,1.773667019316426661e+02,2.890584191448170372e+02,4.575877667026406357e+02,7.293704485562298601e+01,4.857538571727034515e+00
