,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.8690000000000003,65.5,65.5,0.0,0.0
std,0.14508444075604712,16.51659710103688,16.51659710103688,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0099,0.198,0.198,0.0,0.0
2.3%,0.28005000000000013,3.939000000000001,3.939000000000001,0.0,0.0
10%,0.9,70.0,70.0,0.0,0.0
15.9%,0.9,70.0,70.0,0.0,0.0
50%,0.9,70.0,70.0,0.0,0.0
84.1%,0.9,70.0,70.0,0.0,0.0
90%,0.9,70.0,70.0,0.0,0.0
97.7%,0.9,70.0,70.0,0.0,0.0
99.9%,0.9,70.0,70.0,0.0,0.0
max,0.9,70.0,70.0,0.0,0.0
