,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,6.768334957569611277e+01,5.523224060991378082e+01,3.926162340060463407e+01,3.291466551318690925e+00
1.000000000000000000e+00,1.298465656410071460e+02,1.762325002280039143e+02,6.842711027613073327e+01,5.607628147085371495e+00
2.000000000000000000e+00,1.421093448469067368e+02,1.439240997440057299e+02,1.066743568162730043e+02,7.499584908679476136e+00
3.000000000000000000e+00,1.368992907424635632e+02,1.665315886990414640e+02,1.073187136820564689e+02,7.577289925598567955e+00
4.000000000000000000e+00,2.007957295656599399e+02,2.138350524776262773e+02,8.157655615476549826e+01,6.383376325322796419e+00
5.000000000000000000e+00,1.128336722576856772e+02,1.286873729176220138e+02,5.624745387786221329e+01,4.557936611467955146e+00
6.000000000000000000e+00,9.074514889850502186e+01,1.658243581972559468e+02,7.008749513792754726e+01,5.256302707566099741e+00
7.000000000000000000e+00,2.384315774695909624e+02,2.424231163144875723e+02,8.553388868392093514e+01,5.932089736831969162e+00
8.000000000000000000e+00,2.293541960385794312e+02,9.770470183986834911e+01,1.645809231990987342e+01,1.625994655768687069e+00
9.000000000000000000e+00,1.431507847565010252e+02,2.183730945469614539e+02,8.109492060466578778e+01,6.387064680262984240e+00
1.000000000000000000e+01,1.262527879493140688e+02,4.759398722762083480e+02,1.099222222689735275e+02,7.715542142900570610e+00
1.100000000000000000e+01,1.431084003905220357e+02,9.324171042517181718e+01,5.453811737688531025e+01,4.440577276524684258e+00
1.200000000000000000e+01,1.397956874295904015e+02,2.286810084964730265e+02,9.589771288030300411e+01,7.036476195130645372e+00
1.300000000000000000e+01,1.791800403196528748e+02,2.328664993563236578e+02,1.138843948167100990e+02,7.867346485041215587e+00
1.400000000000000000e+01,1.747343934728807255e+02,2.131094315119685803e+02,7.946979160495797601e+01,5.670511292867479014e+00
1.500000000000000000e+01,7.691800945604239814e+01,4.929218684585976575e+02,1.027973475437991482e+02,7.354971860986358578e+00
1.600000000000000000e+01,8.941368781094055862e+01,1.784080720115393603e+02,1.157667316636427870e+02,7.926220514489759061e+00
1.700000000000000000e+01,2.405425365390902357e+02,5.462837918190451774e+02,5.085257544508252181e+01,4.502234863284555466e+00
1.800000000000000000e+01,2.434780457639014344e+02,1.510818821192597454e+02,7.317393527589049995e+01,5.947621070024841750e+00
1.900000000000000000e+01,6.710680558601390544e+01,5.201417310808273697e+01,3.242154533470756661e+00,3.784414400328491301e-01
2.000000000000000000e+01,1.051075941782890339e+02,2.496495375872460727e+02,9.618247171493543135e+01,7.119896195132015215e+00
2.100000000000000000e+01,1.967852636820947509e+02,3.771830679028859663e+02,8.737319945033465274e+01,6.756830019270993581e+00
2.200000000000000000e+01,1.339643479747164463e+02,2.387009473603127390e+02,7.825079093837659627e+01,5.603505234617530917e+00
2.300000000000000000e+01,2.101585521328986772e+02,3.522327750800772606e+02,4.889665355978993944e+01,4.013072010403461398e+00
2.400000000000000000e+01,2.133433793471051274e+02,4.582467529092587029e+02,2.007341044018684784e+01,1.935177051811374449e+00
2.500000000000000000e+01,1.389425799086711777e+02,2.068622565614054736e+02,6.248155198381999753e+01,4.710947589585103401e+00
2.600000000000000000e+01,1.023615473333899928e+02,9.694553423404576620e+01,7.784038666455582245e+01,5.599203601689084486e+00
2.700000000000000000e+01,9.439755540661414557e+01,2.445427244778283580e+02,8.296966508060654633e+01,5.855277234988398583e+00
2.800000000000000000e+01,2.283599514250251445e+02,2.749899207316032630e+02,1.004255834412439583e+02,7.285119617392347813e+00
2.900000000000000000e+01,1.137089891890712750e+02,5.239587302907192452e+02,8.674694290000454089e+01,5.958047101099174014e+00
3.000000000000000000e+01,1.202914686848909724e+02,4.404061981905865082e+02,8.998107962253804715e+01,6.854669456669022942e+00
3.100000000000000000e+01,4.739860005523694042e+01,1.634042821046766960e+02,6.893837122994416688e+01,5.045403939798099202e+00
3.200000000000000000e+01,1.219333385351271346e+02,3.448511506237968547e+02,5.131884368979678612e+01,4.546347745424870190e+00
3.300000000000000000e+01,1.344573834329686690e+02,2.859078818612911732e+02,5.405749626627162030e+01,4.704513426809074694e+00
3.400000000000000000e+01,2.590382357354785654e+02,1.444038570655676210e+02,1.909591217303089650e+01,1.884196899229467537e+00
3.500000000000000000e+01,1.066845873709720252e+02,3.072280203643175582e+02,9.231902095042634926e+00,9.939913848520359752e-01
3.600000000000000000e+01,2.033100583762810061e+02,2.954722445063441114e+02,6.547389878242519501e+01,5.010018802246301028e+00
3.700000000000000000e+01,1.505995977156846664e+02,4.776776129000366495e+02,7.001126421645537334e+01,5.819638327066282812e+00
3.800000000000000000e+01,4.579308103948596340e+02,3.951312614523489515e+02,7.507295659526656095e+01,5.935196814830806744e+00
3.900000000000000000e+01,6.606272562848450036e+01,9.620459225428136563e+01,7.992443834843123796e+01,5.681268738259896978e+00
4.000000000000000000e+01,7.206756375514716240e+01,7.911550876559346079e+01,7.769759043678253363e+01,5.617484173975212158e+00
