#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
0,0.0,0.0,0.0,0.0,0.0
1,1.0,365.0,365.0,0.0,0.0
2,0.75,10.0,10.0,0.0,0.0
3,1.5,20.0,20.0,0.0,0.0
4,0.1,2.0,2.0,0.0,0.0
5,1.0,365.0,365.0,0.0,0.0
6,1.0,365.0,365.0,0.0,0.0
7,1.5,20.0,20.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.75,10.0,10.0,0.0,0.0
10,0.75,10.0,10.0,0.0,0.0
11,0.2,4.0,4.0,0.0,0.0
12,1.0,365.0,365.0,0.0,0.0
13,1.5,20.0,20.0,0.0,0.0
14,1.0,365.0,365.0,0.0,0.0
15,0.85,12.0,12.0,0.0,0.0
16,1.5,20.0,20.0,0.0,0.0
17,1.5,20.0,20.0,0.0,0.0
18,0.75,10.0,10.0,0.0,0.0
19,0.75,10.0,10.0,0.0,0.0
20,1.5,20.0,20.0,0.0,0.0
21,1.5,20.0,20.0,0.0,0.0
22,0.75,10.0,10.0,0.0,0.0
23,1.5,20.0,20.0,0.0,0.0
24,0.1,2.0,2.0,0.0,0.0
25,1.5,20.0,20.0,0.0,0.0
26,0.85,12.0,12.0,0.0,0.0
27,1.0,365.0,365.0,0.0,0.0
28,1.5,20.0,20.0,0.0,0.0
29,1.75,375.0,375.0,0.0,0.0
30,0.1,2.0,2.0,0.0,0.0
31,1.0,365.0,365.0,0.0,0.0
32,0.75,10.0,10.0,0.0,0.0
33,0.75,10.0,10.0,0.0,0.0
34,0.1,2.0,2.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,1.5,20.0,20.0,0.0,0.0
37,0.85,12.0,12.0,0.0,0.0
38,1.5,20.0,20.0,0.0,0.0
39,1.0,365.0,365.0,0.0,0.0
40,0.75,10.0,10.0,0.0,0.0
41,1.0,365.0,365.0,0.0,0.0
42,0.75,10.0,10.0,0.0,0.0
43,1.5,20.0,20.0,0.0,0.0
44,0.75,10.0,10.0,0.0,0.0
45,1.5,20.0,20.0,0.0,0.0
46,0.75,10.0,10.0,0.0,0.0
47,0.85,12.0,12.0,0.0,0.0
48,1.75,375.0,375.0,0.0,0.0
49,0.1,2.0,2.0,0.0,0.0
50,0.75,10.0,10.0,0.0,0.0
51,0.75,10.0,10.0,0.0,0.0
52,1.1,367.0,367.0,0.0,0.0
53,0.75,10.0,10.0,0.0,0.0
54,0.75,10.0,10.0,0.0,0.0
55,0.75,10.0,10.0,0.0,0.0
56,0.75,10.0,10.0,0.0,0.0
57,0.1,2.0,2.0,0.0,0.0
58,1.5,20.0,20.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,1.0,365.0,365.0,0.0,0.0
61,1.0,365.0,365.0,0.0,0.0
62,1.5,20.0,20.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,1.5,20.0,20.0,0.0,0.0
65,1.5,20.0,20.0,0.0,0.0
66,0.75,10.0,10.0,0.0,0.0
67,1.0,365.0,365.0,0.0,0.0
68,0.75,10.0,10.0,0.0,0.0
69,0.85,12.0,12.0,0.0,0.0
70,0.75,10.0,10.0,0.0,0.0
71,1.0,365.0,365.0,0.0,0.0
72,0.1,2.0,2.0,0.0,0.0
73,1.0,365.0,365.0,0.0,0.0
74,0.75,10.0,10.0,0.0,0.0
75,1.5,20.0,20.0,0.0,0.0
76,1.5,20.0,20.0,0.0,0.0
77,1.0,365.0,365.0,0.0,0.0
78,0.1,2.0,2.0,0.0,0.0
79,1.0,365.0,365.0,0.0,0.0
80,0.75,10.0,10.0,0.0,0.0
81,1.5,20.0,20.0,0.0,0.0
82,0.75,10.0,10.0,0.0,0.0
83,0.75,10.0,10.0,0.0,0.0
84,1.5,20.0,20.0,0.0,0.0
85,0.75,10.0,10.0,0.0,0.0
86,0.85,12.0,12.0,0.0,0.0
87,1.0,365.0,365.0,0.0,0.0
88,0.1,2.0,2.0,0.0,0.0
89,0.85,12.0,12.0,0.0,0.0
90,0.75,10.0,10.0,0.0,0.0
91,1.5,20.0,20.0,0.0,0.0
92,0.85,12.0,12.0,0.0,0.0
93,0.75,10.0,10.0,0.0,0.0
94,0.75,10.0,10.0,0.0,0.0
95,1.5,20.0,20.0,0.0,0.0
96,0.85,12.0,12.0,0.0,0.0
97,0.75,10.0,10.0,0.0,0.0
98,1.5,20.0,20.0,0.0,0.0
99,1.1,367.0,367.0,0.0,0.0
