,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,100.0,100.0,100.0,100.0,100.0
mean,0.9144999999999999,86.19,86.19,0.0,0.0
std,0.46787155061917146,145.1898579394747,145.1898579394747,0.0,0.0
log_std,,,,,
min,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0
10%,0.1,2.0,2.0,0.0,0.0
15.9%,0.75,10.0,10.0,0.0,0.0
50%,0.85,12.0,12.0,0.0,0.0
84.1%,1.5,365.0,365.0,0.0,0.0
90%,1.5,365.0,365.0,0.0,0.0
97.7%,1.5,367.0,367.0,0.0,0.0
99.9%,1.75,375.0,375.0,0.0,0.0
max,1.75,375.0,375.0,0.0,0.0
