,1-PGA-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,2.889562450014221895e+01,2.445146090115162707e+01,1.957821567885559971e-02,4.841479789700588870e-03
1.000000000000000000e+00,8.365755524865009818e+01,2.674044134032400279e+02,5.212634840848297557e+01,4.081950981571398351e+00
2.000000000000000000e+00,1.661825346266708152e+02,2.113915885429063053e+02,7.980965599572233771e+01,5.478062173465148454e+00
3.000000000000000000e+00,2.144393707565555474e+02,2.407386451702497823e+02,2.216501936411012608e+01,1.551866940590463928e+00
4.000000000000000000e+00,1.421953967632918250e+02,1.619535073363550168e+02,1.668593842984262920e+01,1.273907452914217142e+00
5.000000000000000000e+00,1.045014220995217329e+02,3.845726635202133536e+01,6.565277686456244055e+01,4.761178561270049236e+00
6.000000000000000000e+00,6.948708752210318096e+01,4.606913091752411304e+01,3.904876505388858021e+01,3.323786423766864839e+00
7.000000000000000000e+00,3.169024283080143505e+02,1.655607480323527341e+02,3.691295839206434692e+01,2.156880853041646340e+00
8.000000000000000000e+00,1.256094435009377435e+02,8.148638669099015885e+01,3.792152300906927870e-02,7.739906854810146841e-02
9.000000000000000000e+00,9.984131359106261527e+01,5.800134872586222201e+01,1.771970747414561131e+01,1.251926739264830335e+00
1.000000000000000000e+01,9.809698637609965033e+01,3.806124445879096925e+02,2.167964048400470745e+01,1.532047111057193156e+00
1.100000000000000000e+01,1.236785297864292659e+02,1.625433170161517182e+02,1.607071982784235331e+01,1.233135891056263977e+00
1.200000000000000000e+01,1.310865278613695466e+02,2.299769097998070606e+02,7.415713061377761051e+01,5.186199027615546520e+00
1.300000000000000000e+01,2.992711870562365561e+02,5.225353083919811326e+01,3.656987815563169164e+01,2.142617994745356746e+00
1.400000000000000000e+01,2.034153679730592899e+02,1.165736532720191150e+02,8.295101256653595101e+01,5.510900970336837901e+00
1.500000000000000000e+01,2.933714231420117358e+02,2.854395425700431588e+02,3.645304641622838915e+01,2.137193146679160716e+00
1.600000000000000000e+01,3.279153345395748147e+02,1.656830170832643603e+02,8.373913109280756828e+01,5.502136438774395621e+00
1.700000000000000000e+01,2.895696651682712286e+02,1.209632342687223627e+03,1.142808046452225490e+01,1.003445460938345635e+00
1.800000000000000000e+01,1.391688050969550261e+02,1.221133097160737719e+02,1.686050057122110601e+01,1.285815519180500521e+00
1.900000000000000000e+01,4.293139387776073335e+01,1.359595825116616368e+02,9.762778943669909282e+00,9.635857934262862523e-01
2.000000000000000000e+01,1.435372596897435358e+02,2.031063394254736068e+02,2.939427146585590478e+01,1.887680481512314490e+00
2.100000000000000000e+01,1.957955796022725963e+02,2.800887026020398594e+02,2.276273838394113724e+01,1.584656495916390462e+00
2.200000000000000000e+01,1.188504085202754368e+02,1.713727351064189577e+02,2.358709379393576100e+01,1.633857898052280433e+00
2.300000000000000000e+01,3.623747230788417255e+02,5.237102628028106892e+02,1.476055028816901427e+01,1.194659935657988115e+00
2.400000000000000000e+01,7.699525030412186766e+01,1.951947699945175785e+01,9.472276775220004552e+00,7.361555928714431651e-01
2.500000000000000000e+01,1.879137656806198606e+02,1.290443442622676855e+02,3.352338838024863321e+01,1.990336746274480095e+00
